week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	9/8/15	Newcastle	Southampton	2	-2	D	1	1	D	C Pawson	9	15	4	5	9	12	6	6	2	4	0	0	2.88	3.3	2.7	2.8	3.1	2.75	2.65	3.3	2.5	2.88	3.3	2.6	2.88	3.33	2.69	2.7	3.1	2.7	2.88	3.25	2.7	45	2.88	2.79	3.47	3.23	2.76	2.63	43	2.23	2.14	1.8	1.7	27	0	2.06	1.98	1.92	1.87	3.09	3.28	2.55
2	E0	15/08/15	Swansea	Newcastle	2	0	H	1	0	H	M Jones	19	4	6	2	11	8	4	4	2	1	0	1	1.95	3.6	4.33	1.95	3.5	3.7	1.9	3.45	3.8	1.95	3.5	4.2	1.94	3.66	4.3	1.95	3.2	4.33	1.95	3.6	4.33	45	2.01	1.92	3.7	3.51	4.33	4.11	44	2.01	1.94	1.96	1.86	28	-0.5	1.95	1.91	2	1.94	1.85	3.86	4.49
3	E0	22/08/15	Man United	Newcastle	0	0	D	0	0	D	C Pawson	20	7	8	0	15	11	11	5	2	2	0	0	1.36	5.25	10	1.36	5	9.25	1.35	4.8	7.6	1.36	5	9.5	1.39	5.15	9.62	1.36	5	8	1.36	5	10.5	39	1.4	1.36	5.25	4.91	10.5	8.9	37	1.81	1.74	2.15	2.06	26	-1.25	1.91	1.87	2.04	1.99	1.34	5.44	11.12
4	E0	29/08/15	Newcastle	Arsenal	0	-1	A	0	0	D	A Marriner	1	22	0	9	15	8	0	9	6	1	1	0	6	4.2	1.62	5.5	3.75	1.62	5	3.9	1.6	5.5	4	1.67	6.13	4.21	1.61	6	3.6	1.62	6.25	4.2	1.6	39	6.25	5.7	4.21	3.99	1.7	1.61	38	1.87	1.8	2.1	2	24	1	1.86	1.81	2.12	2.06	5.81	4.48	1.6
5	E0	14/09/15	West Ham	Newcastle	2	0	H	1	0	H	A Taylor	17	14	3	4	8	11	6	7	0	2	0	0	2.25	3.5	3.4	2.25	3.4	3	2.1	3.3	3.3	2.25	3.4	3.4	2.23	3.53	3.48	2.25	3.1	3.4	2.25	3.5	3.4	35	2.27	2.19	3.6	3.41	3.48	3.33	31	1.95	1.89	1.97	1.91	22	0	1.63	1.58	2.51	2.42	2.09	3.63	3.77
6	E0	19/09/15	Newcastle	Watford	1	-2	A	0	2	A	R East	15	13	5	4	8	12	5	5	1	2	0	0	2.5	3.3	3.1	2.5	3.2	2.8	2.4	3.3	2.75	2.45	3.4	3.1	2.54	3.36	3.04	2.5	3.2	2.9	2.5	3.3	3.13	40	2.55	2.47	3.48	3.25	3.13	2.97	35	2.25	2.17	1.74	1.68	25	0	1.81	1.76	2.2	2.11	2.16	3.47	3.73
7	E0	26/09/15	Newcastle	Chelsea	2	-2	D	1	0	H	M Atkinson	11	16	5	4	12	15	4	6	1	2	0	0	6	4.2	1.62	5.75	3.9	1.62	5.4	3.7	1.6	6	4	1.62	5.98	4.16	1.63	6	3.6	1.62	6	4	1.65	41	6.1	5.62	4.2	3.94	1.67	1.62	37	1.88	1.81	2.09	1.99	24	0.75	2.14	2.08	1.84	1.8	5.8	4.24	1.63
8	E0	3/10/15	Man City	Newcastle	6	-1	H	1	1	D	K Friend	23	6	11	4	13	8	6	3	3	1	0	0	1.25	7	13	1.25	6.25	11.5	1.25	5.5	10.3	1.25	6.5	13	1.24	6.9	13.8	1.25	6	13	1.22	7	15	43	1.26	1.23	7.25	6.59	15	12.3	39	1.47	1.41	3	2.85	27	-2	2.12	2.02	1.9	1.84	1.22	7.3	14.85
9	E0	18/10/15	Newcastle	Norwich	6	-2	H	3	2	H	A Taylor	11	18	6	6	10	10	3	7	1	1	0	0	2.6	3.4	2.88	2.6	3.3	2.6	2.5	3.3	2.65	2.62	3.4	2.8	2.58	3.44	2.93	2.62	3.1	2.8	2.6	3.4	2.88	46	2.62	2.54	3.51	3.33	2.93	2.8	42	1.97	1.89	1.98	1.91	27	0	1.87	1.83	2.09	2.01	2.48	3.54	2.99
10	E0	25/10/15	Sunderland	Newcastle	3	0	H	1	0	H	R Madley	9	21	3	8	12	10	1	10	0	2	0	1	2.6	3.4	2.9	2.55	3.3	2.65	2.3	3.3	2.9	2.62	3.3	2.88	2.57	3.41	2.96	2.62	3.1	3	2.63	3.3	2.9	43	2.63	2.53	3.45	3.31	3	2.86	39	2.04	1.95	1.91	1.85	24	0	1.87	1.81	2.11	2.05	2.63	3.38	2.91
