week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Norwich	Crystal Palace	1	-3	A	0	1	A	S Hooper	17	11	6	7	14	20	1	4	1	0	0	0	2.55	3.3	3	2.6	3.2	2.7	2.4	3.2	2.85	2.62	3.2	2.9	2.52	3.35	3.08	2.6	3.1	2.88	2.6	3.25	3	45	2.63	2.53	3.42	3.21	3.11	2.92	43	2.25	2.18	1.75	1.67	27	0	1.83	1.78	2.17	2.08	2.46	3.39	3.14
2	E0	15/08/15	Sunderland	Norwich	1	-3	A	0	2	A	K Friend	6	19	2	6	7	7	6	6	1	2	0	0	2.5	3.3	3.1	2.5	3.1	3.2	2.3	3.3	2.9	2.4	3.3	3.1	2.52	3.35	3.08	2.5	3	3	2.55	3.2	3.13	45	2.6	2.47	3.4	3.2	3.2	3.01	43	2.37	2.26	1.69	1.63	27	0	1.8	1.75	2.18	2.12	2.86	3.39	2.66
3	E0	22/08/15	Norwich	Stoke	1	-1	D	1	1	D	M Dean	21	6	7	1	16	5	9	0	4	1	0	0	2.3	3.3	3.5	2.35	3.2	3	2.4	3.2	2.85	2.4	3.3	3.2	2.34	3.39	3.37	2.3	3.2	3.1	2.38	3.3	3.4	41	2.4	2.3	3.4	3.27	3.5	3.22	39	2.22	2.14	1.76	1.69	26	-0.25	2.02	1.97	1.94	1.89	2.15	3.42	3.82
4	E0	30/08/15	Southampton	Norwich	3	0	H	1	0	H	J Moss	23	6	8	1	4	12	6	4	0	0	0	1	2.05	3.5	4	2.05	3.4	3.5	1.9	3.45	3.8	2.05	3.4	3.8	2.05	3.54	4	2.05	3.25	3.8	2.05	3.5	4	40	2.07	2.01	3.6	3.44	4.1	3.82	39	2.1	2.01	1.85	1.79	26	-0.5	2.06	2.01	1.9	1.85	2.11	3.4	3.95
5	E0	12/9/15	Norwich	Bournemouth	3	-1	H	1	0	H	M Atkinson	12	7	4	2	10	11	4	4	2	3	0	0	2.4	3.4	3.2	2.4	3.4	2.75	2.3	3.3	2.9	2.4	3.4	3.1	2.36	3.48	3.23	2.4	3.1	3.1	2.4	3.4	3.2	36	2.41	2.33	3.51	3.36	3.23	3.11	32	1.98	1.91	1.99	1.89	23	-0.25	2.04	1.99	1.91	1.87	2.42	3.48	3.13
6	E0	20/09/15	Liverpool	Norwich	1	-1	D	0	0	D	A Taylor	23	7	7	2	4	13	6	2	1	2	0	0	1.67	4	5.75	1.67	3.8	5.5	1.55	3.9	5.6	1.67	3.8	5.5	1.68	3.94	5.81	1.67	3.6	5.5	1.67	4	5.75	40	1.68	1.64	4.1	3.86	6	5.54	36	1.92	1.86	2.03	1.93	25	-1	2.26	2.16	1.77	1.73	1.59	4.23	6.5
7	E0	26/09/15	West Ham	Norwich	2	-2	D	1	1	D	M Dean	19	16	7	7	7	17	7	5	0	0	0	0	2.25	3.5	3.4	2.25	3.25	3.1	2.1	3.3	3.3	2.2	3.4	3.4	2.22	3.54	3.49	2.3	3.2	3.2	2.25	3.5	3.4	41	2.3	2.22	3.54	3.4	3.52	3.28	37	1.96	1.9	1.96	1.89	25	-0.5	2.26	2.19	1.75	1.72	2.25	3.49	3.45
8	E0	3/10/15	Norwich	Leicester	1	-2	A	0	1	A	M Clattenburg	17	16	2	5	4	4	16	8	0	1	0	0	2.3	3.5	3.3	2.3	3.1	3.2	2.3	3.3	2.9	2.25	3.4	3.3	2.26	3.63	3.31	2.25	3.4	3.1	2.3	3.6	3.2	44	2.3	2.25	3.63	3.46	3.31	3.15	38	1.86	1.74	2.18	2.08	26	-0.5	2.3	2.23	1.74	1.7	2.33	3.44	3.34
9	E0	18/10/15	Newcastle	Norwich	6	-2	H	3	2	H	A Taylor	11	18	6	6	10	10	3	7	1	1	0	0	2.6	3.4	2.88	2.6	3.3	2.6	2.5	3.3	2.65	2.62	3.4	2.8	2.58	3.44	2.93	2.62	3.1	2.8	2.6	3.4	2.88	46	2.62	2.54	3.51	3.33	2.93	2.8	42	1.97	1.89	1.98	1.91	27	0	1.87	1.83	2.09	2.01	2.48	3.54	2.99
10	E0	24/10/15	Norwich	West Brom	0	-1	A	0	0	D	K Friend	16	7	3	4	11	6	13	3	1	2	0	0	2	3.5	4.2	2	3.3	3.7	2.1	3.3	3.3	2	3.4	4	2.02	3.49	4.18	2.05	3.1	4	1.98	3.5	4.33	43	2.1	2	3.5	3.39	4.31	3.97	38	2.2	2.11	1.8	1.71	24	-0.5	2.02	1.97	1.94	1.89	1.98	3.74	4.03
