week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	9/8/15	Newcastle	Southampton	2	-2	D	1	1	D	C Pawson	9	15	4	5	9	12	6	6	2	4	0	0	2.88	3.3	2.7	2.8	3.1	2.75	2.65	3.3	2.5	2.88	3.3	2.6	2.88	3.33	2.69	2.7	3.1	2.7	2.88	3.25	2.7	45	2.88	2.79	3.47	3.23	2.76	2.63	43	2.23	2.14	1.8	1.7	27	0	2.06	1.98	1.92	1.87	3.09	3.28	2.55
2	E0	15/08/15	Southampton	Everton	0	-3	A	0	2	A	M Oliver	17	10	4	4	11	10	9	9	4	2	0	0	1.95	3.6	4.33	1.95	3.5	4.1	2.1	3.2	3.4	2	3.3	4.33	1.98	3.6	4.21	2	3.25	4	2	3.5	4.33	45	2.1	1.95	3.68	3.45	4.5	4.09	43	2.23	2.16	1.76	1.68	28	-0.5	1.98	1.92	1.99	1.93	2.03	3.54	4.08
3	E0	23/08/15	Watford	Southampton	0	0	D	0	0	D	A Marriner	13	14	0	5	10	11	5	2	0	2	0	0	2.8	3.3	2.75	2.65	3.25	2.6	2.6	3.2	2.6	2.75	3.3	2.7	2.76	3.36	2.78	2.7	3.1	2.7	2.8	3.3	2.75	41	2.8	2.7	3.5	3.25	2.8	2.7	39	2.2	2.13	1.78	1.7	27	0	1.96	1.91	1.99	1.93	2.76	3.34	2.79
4	E0	30/08/15	Southampton	Norwich	3	0	H	1	0	H	J Moss	23	6	8	1	4	12	6	4	0	0	0	1	2.05	3.5	4	2.05	3.4	3.5	1.9	3.45	3.8	2.05	3.4	3.8	2.05	3.54	4	2.05	3.25	3.8	2.05	3.5	4	40	2.07	2.01	3.6	3.44	4.1	3.82	39	2.1	2.01	1.85	1.79	26	-0.5	2.06	2.01	1.9	1.85	2.11	3.4	3.95
5	E0	12/9/15	West Brom	Southampton	0	0	D	0	0	D	S Attwell	8	14	1	4	5	5	4	5	1	0	0	0	3.2	3.2	2.5	2.8	3.2	2.5	2.65	3.3	2.5	3.2	3.1	2.5	3.21	3.26	2.49	3.1	3	2.5	3.3	3.2	2.45	36	3.24	3.09	3.3	3.16	2.5	2.45	30	2.49	2.35	1.65	1.58	23	0.25	1.85	1.81	2.12	2.06	3.25	3.38	2.4
6	E0	20/09/15	Southampton	Man United	2	-3	A	1	1	D	M Clattenburg	15	10	8	3	6	13	5	5	2	0	0	0	3.1	3.3	2.5	3.2	3.2	2.4	3	3.2	2.3	3.1	3.2	2.5	3.22	3.3	2.46	3	3	2.5	3.2	3.2	2.5	40	3.25	3.06	3.32	3.19	2.5	2.44	33	2.36	2.28	1.67	1.62	24	0	2.26	2.17	1.76	1.72	3.45	3.28	2.35
7	E0	26/09/15	Southampton	Swansea	3	-1	H	1	0	H	R East	18	11	7	4	18	14	4	3	3	1	0	0	2.05	3.4	4.2	2.05	3.25	3.6	2.2	3.2	3.2	2.05	3.4	3.8	2.04	3.51	4.07	2.05	3.1	4	2.1	3.3	4.1	41	2.2	2.03	3.51	3.37	4.2	3.86	36	2.25	2.16	1.79	1.68	26	-0.5	2.05	2	1.92	1.86	1.85	3.71	4.79
8	E0	3/10/15	Chelsea	Southampton	1	-3	A	1	1	D	R Madley	10	13	3	5	14	14	4	6	2	5	0	0	1.83	3.7	4.8	1.83	3.6	4.5	1.7	3.6	4.7	1.8	3.75	4.5	1.83	3.76	4.84	1.83	3.2	4.8	1.83	3.75	4.75	44	1.87	1.8	3.8	3.63	5.25	4.61	40	1.95	1.88	2	1.91	25	-0.75	2.12	2.05	1.9	1.82	1.79	3.9	4.89
9	E0	17/10/15	Southampton	Leicester	2	-2	D	2	0	H	P Tierney	14	26	6	7	16	10	6	7	2	0	0	0	1.75	4	5	1.75	3.7	4.4	1.8	3.5	4.2	1.75	3.75	5	1.76	3.88	5.1	1.8	3.25	5	1.75	3.9	5	46	1.8	1.75	4	3.75	5.12	4.71	41	1.82	1.75	2.17	2.06	26	-0.5	1.79	1.74	2.21	2.14	1.73	3.94	5.32
10	E0	25/10/15	Liverpool	Southampton	1	-1	D	0	0	D	A Marriner	15	8	2	3	8	11	10	7	1	0	0	1	2.05	3.6	3.8	2.05	3.5	3.6	1.85	3.45	4	2.1	3.4	3.75	2.08	3.56	3.87	2.1	3.3	3.9	2.1	3.5	3.8	43	2.1	2.05	3.62	3.43	4	3.74	39	2.06	1.95	1.91	1.84	24	-0.5	2.08	2.04	1.86	1.83	2.09	3.53	3.87
