week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	9/8/15	Stoke	Liverpool	0	-1	A	0	0	D	A Taylor	7	8	1	3	9	16	3	5	2	4	0	0	3.4	3.4	2.3	3.2	3.4	2.3	2.9	3.3	2.3	3.4	3.3	2.3	3.48	3.46	2.25	3.3	3.1	2.3	3.4	3.4	2.3	45	3.51	3.33	3.51	3.33	2.35	2.24	43	2.15	2.06	1.82	1.75	26	0.25	2	1.95	1.96	1.91	3.89	3.51	2.09
2	E0	15/08/15	Tottenham	Stoke	2	-2	D	2	0	H	R Madley	13	16	7	7	15	11	4	3	2	2	0	0	1.8	3.75	5	1.8	3.7	4.1	1.7	3.6	4.7	1.8	3.75	4.75	1.79	3.75	5.09	1.8	3.3	5	1.8	3.7	5	45	1.84	1.77	3.93	3.66	5.1	4.8	44	2	1.93	1.94	1.87	27	-0.75	2.03	1.97	1.93	1.88	1.74	3.76	5.55
3	E0	22/08/15	Norwich	Stoke	1	-1	D	1	1	D	M Dean	21	6	7	1	16	5	9	0	4	1	0	0	2.3	3.3	3.5	2.35	3.2	3	2.4	3.2	2.85	2.4	3.3	3.2	2.34	3.39	3.37	2.3	3.2	3.1	2.38	3.3	3.4	41	2.4	2.3	3.4	3.27	3.5	3.22	39	2.22	2.14	1.76	1.69	26	-0.25	2.02	1.97	1.94	1.89	2.15	3.42	3.82
4	E0	29/08/15	Stoke	West Brom	0	-1	A	0	1	A	M Oliver	13	15	5	5	4	9	6	5	1	4	2	0	1.95	3.4	4.5	1.95	3.3	4	2	3.3	3.6	2	3.4	4	1.95	3.5	4.5	1.95	3.25	4.2	1.93	3.5	4.6	40	2	1.93	3.5	3.39	4.6	4.22	38	2.31	2.23	1.71	1.64	26	-0.5	1.96	1.92	1.99	1.93	2.16	3.27	3.98
5	E0	12/9/15	Arsenal	Stoke	2	0	H	1	0	H	J Moss	29	9	12	4	6	13	13	1	1	1	0	0	1.29	6	12	1.3	5.5	9.75	1.3	5	9	1.3	5.5	12	1.28	6.12	13	1.3	5	11	1.3	5.75	12	36	1.3	1.27	6.13	5.71	13	11.27	28	1.68	1.63	2.33	2.25	24	-1.5	1.87	1.8	2.12	2.05	1.3	6.3	11
6	E0	19/09/15	Stoke	Leicester	2	-2	D	2	0	H	A Marriner	11	12	4	5	7	12	3	4	1	4	0	0	2.5	3.4	3	2.5	3.2	2.8	2.4	3.2	2.85	2.5	3.4	3	2.47	3.41	3.1	2.5	3	3	2.45	3.4	3.13	40	2.5	2.43	3.42	3.3	3.13	2.98	35	2.09	2.03	1.84	1.77	24	0	1.77	1.73	2.21	2.15	2.99	3.45	2.53
7	E0	26/09/15	Stoke	Bournemouth	2	-1	H	1	0	H	L Mason	8	11	5	6	13	11	3	7	1	0	0	0	2.55	3.3	3	2.5	3.3	2.75	2.5	3.2	2.75	2.5	3.3	2.88	2.47	3.46	3.06	2.5	3.1	3	2.55	3.3	3	41	2.6	2.48	3.53	3.31	3.06	2.9	36	2.1	2.02	1.86	1.78	25	0	1.81	1.76	2.2	2.11	2.43	3.49	3.1
8	E0	3/10/15	Aston Villa	Stoke	0	-1	A	0	0	D	M Jones	13	12	2	5	12	12	9	5	1	0	0	0	2.5	3.3	3.1	2.5	3.25	2.95	2.4	3.3	2.75	2.5	3.3	3	2.5	3.34	3.11	2.5	3.2	2.9	2.5	3.3	3.13	44	2.55	2.47	3.4	3.23	3.13	2.99	38	2.28	2.19	1.73	1.67	24	-0.25	2.16	2.1	1.82	1.78	2.71	3.25	2.91
9	E0	19/10/15	Swansea	Stoke	0	-1	A	0	1	A	R Madley	14	9	2	2	6	14	1	2	2	2	0	0	2.05	3.4	4.2	2.05	3.2	3.75	2	3.3	3.6	2.05	3.4	4	2.08	3.41	4.06	2.05	3.1	4	2.05	3.4	4.1	44	2.1	2.03	3.5	3.33	4.2	3.88	40	2.28	2.17	1.72	1.67	25	-0.5	2.08	2.01	1.89	1.85	1.88	3.66	4.62
10	E0	24/10/15	Stoke	Watford	0	-2	A	0	1	A	M Atkinson	12	13	1	3	10	18	11	5	3	1	0	0	2.1	3.3	4	2.1	3.25	3.5	2	3.3	3.6	2.1	3.2	4	2.1	3.38	4.03	2.15	3.1	3.6	2.1	3.3	4.1	43	2.2	2.09	3.4	3.26	4.1	3.79	37	2.4	2.31	1.67	1.61	23	-0.5	2.11	2.06	1.85	1.81	2.1	3.49	3.89
11	E0	31/10/15	Newcastle	Stoke	0	0	D	0	0	D	R East	15	9	6	2	6	16	11	4	1	3	0	0	2.4	3.4	3.2	2.4	3.3	3	2.5	3.3	2.65	2.4	3.4	3.1	2.39	3.43	3.24	2.4	3.1	3.1	2.38	3.4	3.25	46	2.5	2.35	3.43	3.31	3.28	3.12	40	2.1	2.04	1.85	1.77	27	-0.25	2.06	2	1.91	1.86	2.37	3.39	3.29
12	E0	7/11/15	Stoke	Chelsea	1	0	H	0	0	D	A Taylor	8	19	2	4	13	10	1	9	3	1	0	0	3.8	3.6	2.05	3.6	3.25	2.05	3.3	3.3	2.1	3.8	3.4	2.05	3.96	3.51	2.07	3.75	3.1	2.1	3.9	3.5	2.1	43	4	3.74	3.6	3.38	2.1	2.06	37	2.16	2.08	1.8	1.74	24	0.5	1.88	1.83	2.09	2.04	4.53	3.66	1.9
13	E0	21/11/15	Southampton	Stoke	0	-1	A	0	1	A	L Mason	16	16	1	4	8	8	7	3	2	0	0	0	1.57	4	7	1.57	3.9	5.75	1.65	3.6	5.1	1.62	3.8	6.5	1.61	4.06	6.5	1.62	3.5	6.5	1.62	4	6.5	42	1.65	1.59	4.1	3.88	7	6.23	37	2.09	2.03	1.86	1.78	26	-1	2.12	2.04	1.87	1.83	1.68	3.87	5.98
14	E0	28/11/15	Sunderland	Stoke	2	0	H	0	0	D	M Dean	18	7	5	3	4	10	9	5	0	2	0	1	3.2	3.3	2.45	3	3.1	2.4	2.75	3.3	2.4	3.2	3.25	2.4	3.16	3.28	2.51	3.1	3.1	2.4	3.2	3.3	2.45	49	3.25	3.1	3.3	3.19	2.51	2.41	43	2.37	2.26	1.71	1.63	29	0.25	1.85	1.8	2.13	2.07	3.05	3.26	2.59
15	E0	5/12/15	Stoke	Man City	2	0	H	2	0	H	M Atkinson	7	11	4	4	9	10	1	6	0	1	0	0	5.25	4	1.7	5	3.7	1.72	4.7	3.6	1.7	4.75	3.8	1.67	5.25	4.06	1.71	5.5	3.4	1.7	5.4	4	1.7	47	5.5	5.07	4.1	3.87	1.75	1.69	41	1.87	1.79	2.14	2.01	27	0.75	2.01	1.97	1.94	1.89	5.21	3.94	1.74
16	E0	12/12/15	West Ham	Stoke	0	0	D	0	0	D	A Marriner	22	12	9	3	7	9	11	7	1	2	0	0	2.63	3.3	2.9	2.65	3.1	2.9	2.5	3.3	2.65	2.5	3.1	2.8	2.63	3.33	2.94	2.62	3.1	2.8	2.6	3.25	3	50	2.66	2.55	3.4	3.19	3	2.89	43	2.26	2.18	1.77	1.67	27	0	1.86	1.82	2.09	2.04	2.59	3.25	3.07
17	E0	19/12/15	Stoke	Crystal Palace	1	-2	A	0	1	A	R Madley	26	12	5	3	6	12	7	3	2	0	0	0	2.5	3.2	3.2	2.5	3.2	2.8	2.4	3.2	2.85	2.4	3.2	3	2.51	3.3	3.14	2.4	3.1	3.1	2.5	3.25	3.2	49	2.51	2.44	3.32	3.19	3.2	3.07	42	2.35	2.24	1.7	1.63	29	-0.25	2.14	2.07	1.84	1.8	2.46	3.3	3.21
18	E0	26/12/15	Stoke	Man United	2	0	H	2	0	H	K Friend	13	11	3	6	13	16	1	12	1	2	0	0	3.25	3.2	2.3	3.1	3.25	2.4	2.75	3.3	2.4	3.2	3.1	2.3	3.33	3.31	2.4	3.1	3.1	2.4	3.4	3.2	2.4	49	3.4	3.21	3.31	3.17	2.4	2.36	42	2.48	2.37	1.61	1.57	29	0.25	1.89	1.86	2.07	2.01	3.79	3.25	2.23
19	E0	28/12/15	Everton	Stoke	3	-4	A	1	2	A	M Clattenburg	15	8	3	5	10	12	6	2	2	1	0	0	1.95	3.6	4.2	1.95	3.3	3.9	1.9	3.45	3.8	1.91	3.4	4	1.95	3.63	4.3	1.95	3.5	3.8	1.95	3.6	4.33	51	2	1.93	3.63	3.51	4.33	4.11	46	2.1	2.01	1.88	1.79	30	-0.5	1.95	1.91	2.01	1.95	1.83	3.72	4.85
20	E0	2/1/16	West Brom	Stoke	2	-1	H	0	0	D	L Mason	16	10	5	3	7	15	4	6	1	1	0	1	2.8	3.2	2.8	2.8	3.1	2.7	2.55	3.1	2.75	2.7	3	2.75	2.81	3.2	2.84	2.8	3.1	2.62	2.8	3.1	2.88	48	2.85	2.74	3.2	3.09	2.88	2.77	38	2.55	2.45	1.57	1.53	28	-0.25	2.4	2.31	1.68	1.64	2.88	3.16	2.81
21	E0	13/01/16	Stoke	Norwich	3	-1	H	0	0	D	N Swarbrick	14	5	4	2	5	8	7	3	0	1	0	1	2.05	3.3	4.2	2.05	3.4	3.8	2	3.3	3.6	1.95	3.3	4	2.01	3.44	4.31	2.05	3.1	4	2	3.4	4.2	48	2.05	2	3.44	3.32	4.37	4.03	42	2.28	2.18	1.73	1.67	28	-0.5	2.04	1.99	1.92	1.87	2.04	3.39	4.24
22	E0	17/01/16	Stoke	Arsenal	0	0	D	0	0	D	C Pawson	14	8	6	3	16	10	6	6	0	0	0	0	4.33	3.6	1.95	4	3.6	1.95	3.8	3.45	1.9	4	3.5	1.91	4.29	3.61	1.96	4.33	3.1	1.95	4.3	3.6	1.95	44	4.33	4.11	3.61	3.47	2	1.93	41	2.08	2	1.88	1.81	27	0.25	2.35	2.24	1.73	1.68	3.28	3.24	2.46
23	E0	23/01/16	Leicester	Stoke	3	0	H	1	0	H	M Dean	15	3	5	2	10	13	8	4	0	1	0	0	2.1	3.5	3.8	2.1	3.25	3.5	2	3.3	3.6	1.95	3.3	3.8	2.07	3.48	4	2.05	3.25	3.8	2.1	3.4	4	46	2.1	2.04	3.5	3.36	4	3.83	40	2.28	2.16	1.75	1.68	27	-0.5	2.08	2.02	1.95	1.9	1.9	3.71	4.45
24	E0	2/2/16	Man United	Stoke	3	0	H	2	0	H	R East	15	10	5	0	13	13	2	5	2	1	0	0	1.7	3.75	5.75	1.67	3.7	5.5	1.75	3.5	4.5	1.65	3.6	5.75	1.68	3.82	6.17	1.67	3.5	6	1.7	3.6	6.25	49	1.75	1.67	3.83	3.67	6.26	5.73	42	2.34	2.25	1.67	1.63	32	-1	2.3	2.22	1.74	1.69	1.62	3.92	6.75
25	E0	6/2/16	Stoke	Everton	0	-3	A	0	3	A	A Marriner	11	14	3	6	11	8	6	4	1	0	0	0	2.7	3.4	2.8	2.6	3.3	2.75	2.55	3.3	2.6	2.5	3.2	2.8	2.66	3.36	2.88	2.62	3.1	2.8	2.6	3.4	2.9	45	2.75	2.6	3.47	3.28	2.92	2.79	38	2.1	1.98	1.9	1.81	26	-0.25	2.3	2.22	1.75	1.7	2.94	3.38	2.6
26	E0	13/02/16	Bournemouth	Stoke	1	-3	A	0	1	A	G Scott	11	11	2	6	7	18	9	2	4	2	0	0	2.05	3.4	4.1	2.05	3.3	3.6	2.1	3.3	3.3	2	3.25	3.8	2.07	3.44	4.06	2.05	3.1	4	2.05	3.4	4.1	45	2.15	2.05	3.52	3.35	4.2	3.82	37	2.25	2.14	1.8	1.7	27	-0.25	1.8	1.76	2.2	2.12	1.95	3.57	4.38
27	E0	27/02/16	Stoke	Aston Villa	2	-1	H	0	0	D	K Friend	11	5	3	1	7	15	11	0	0	3	0	0	1.62	3.75	5.5	1.65	3.6	5.5	1.65	3.6	5.1	1.67	3.6	5.5	1.69	3.74	6.16	1.67	3.4	6	1.7	3.75	6	48	1.71	1.67	3.8	3.63	6.16	5.67	40	2.35	2.27	1.69	1.62	32	-1	2.35	2.26	1.7	1.67	1.92	3.45	4.78
28	E0	2/3/16	Stoke	Newcastle	1	0	H	0	0	D	N Swarbrick	9	5	2	3	11	6	5	2	1	0	0	0	2	3.5	4.2	1.83	3.4	4.33	1.9	3.45	3.8	1.95	3.4	4.33	2.03	3.53	4.1	1.95	3.4	4	2	3.5	4.2	47	2.05	1.97	3.57	3.39	4.33	4.07	39	2.12	2.05	1.83	1.76	29	-0.25	1.75	1.69	2.28	2.23	2.06	3.51	4
29	E0	5/3/16	Chelsea	Stoke	1	-1	D	1	0	H	M Clattenburg	20	16	7	5	9	10	8	4	1	2	0	0	1.5	4.5	7.5	1.5	3.9	6.75	1.5	4	6.1	1.48	4.2	7	1.52	4.44	7.28	1.53	3.75	7	1.53	4.3	7	47	1.53	1.5	4.5	4.23	7.5	6.89	39	1.88	1.82	2.07	1.98	32	-1	1.86	1.82	2.11	2.05	1.52	4.32	7.63
30	E0	12/3/16	Stoke	Southampton	1	-2	A	0	2	A	L Mason	13	11	2	4	13	12	1	4	1	2	0	1	2.7	3.2	2.9	2.7	3.2	2.6	2.65	3.1	2.65	2.7	3.1	2.75	2.73	3.22	2.91	2.7	3.1	2.7	2.75	3.2	2.88	45	2.75	2.68	3.22	3.14	2.93	2.8	37	2.5	2.37	1.65	1.57	27	0	1.93	1.89	2.02	1.97	2.72	3.25	2.9
31	E0	19/03/16	Watford	Stoke	1	-2	A	0	1	A	C Pawson	9	9	4	6	10	14	9	2	3	1	0	0	2.4	3.25	3.3	2.4	3.1	3	2.4	3.2	2.85	2.3	3.1	3.2	2.4	3.27	3.36	2.5	3	3.1	2.45	3.2	3.3	47	2.5	2.39	3.27	3.16	3.36	3.17	39	2.51	2.37	1.63	1.58	30	-0.25	2.08	2.03	1.9	1.84	2.22	3.27	3.79
32	E0	2/4/16	Stoke	Swansea	2	-2	D	1	0	H	M Atkinson	12	12	5	3	6	16	5	5	0	1	0	0	2.2	3.4	3.6	2.1	3.25	3.5	2.2	3.2	3.2	2.2	3.25	3.6	2.17	3.39	3.8	2.2	3.3	3.3	2.25	3.2	3.75	46	2.25	2.16	3.4	3.28	3.87	3.58	38	2.38	2.29	1.68	1.61	30	-0.25	1.88	1.85	2.07	2.02	2.13	3.37	3.96
33	E0	10/4/16	Liverpool	Stoke	4	-1	H	2	1	H	M Clattenburg	14	10	6	3	14	14	6	3	0	2	0	0	1.55	4	5.75	1.57	3.75	6	1.65	3.6	5.1	1.57	3.8	5.75	1.61	4.28	6.11	1.6	3.75	6	1.62	4.1	6.25	45	1.65	1.59	4.28	3.99	6.25	5.8	37	2.05	1.89	1.99	1.9	29	-1	2.1	2.04	1.86	1.83	1.65	3.98	6.15
