week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Man United	Tottenham	1	0	H	1	0	H	J Moss	9	9	1	4	12	12	1	2	2	3	0	0	1.65	4	6	1.65	4	5.5	1.65	3.6	5.1	1.67	4	5.5	1.65	4.09	5.9	1.62	3.6	6	1.67	4	5.75	42	1.71	1.63	4.2	3.9	6.5	5.65	40	1.86	1.79	2.13	2.01	26	-1	2.2	2.09	1.82	1.78	1.64	4.07	6.04
2	E0	15/08/15	Tottenham	Stoke	2	-2	D	2	0	H	R Madley	13	16	7	7	15	11	4	3	2	2	0	0	1.8	3.75	5	1.8	3.7	4.1	1.7	3.6	4.7	1.8	3.75	4.75	1.79	3.75	5.09	1.8	3.3	5	1.8	3.7	5	45	1.84	1.77	3.93	3.66	5.1	4.8	44	2	1.93	1.94	1.87	27	-0.75	2.03	1.97	1.93	1.88	1.74	3.76	5.55
3	E0	22/08/15	Leicester	Tottenham	1	-1	D	0	0	D	M Atkinson	13	19	2	6	7	14	2	7	1	4	0	0	2.63	3.6	2.75	2.65	3.3	2.65	2.6	3.2	2.6	2.7	3.4	2.7	2.69	3.52	2.75	2.7	3.1	2.7	2.7	3.5	2.7	41	2.8	2.63	3.6	3.38	2.8	2.67	36	1.88	1.78	2.09	1.97	27	0	1.96	1.9	2.01	1.93	2.61	3.5	2.85
4	E0	29/08/15	Tottenham	Everton	0	0	D	0	0	D	M Jones	20	8	6	3	20	9	6	2	4	1	0	0	2	3.5	4.2	1.95	3.4	3.75	2	3.3	3.6	2	3.5	4	1.97	3.72	4.09	2	3.25	4	1.93	3.7	4.2	40	2	1.94	3.72	3.53	4.33	3.98	39	1.89	1.83	2.05	1.96	26	-0.5	1.97	1.92	1.98	1.93	2.1	3.55	3.81
5	E0	13/09/15	Sunderland	Tottenham	0	-1	A	0	0	D	C Pawson	12	15	2	4	11	12	6	8	2	1	0	0	4.33	3.6	1.95	3.75	3.4	1.95	3.6	3.3	2	4	3.6	1.95	4.32	3.65	1.94	4.2	3.25	1.95	4.4	3.6	1.93	37	4.41	4.14	3.65	3.49	2	1.92	33	2.01	1.95	1.92	1.85	24	0.5	2.01	1.95	1.94	1.9	4.26	3.69	1.94
6	E0	20/09/15	Tottenham	Crystal Palace	1	0	H	0	0	D	M Oliver	22	12	6	4	9	11	6	5	1	2	0	0	2	3.6	4	2	3.4	3.6	1.85	3.45	4	2	3.5	4	1.99	3.61	4.15	1.95	3.5	3.8	2	3.6	4	40	2.02	1.97	3.72	3.48	4.33	3.95	36	1.97	1.91	1.96	1.89	25	-0.5	2.02	1.97	1.94	1.89	1.94	3.78	4.15
7	E0	26/09/15	Tottenham	Man City	4	-1	H	1	1	D	M Clattenburg	15	22	8	8	17	6	5	9	5	1	0	0	4.2	3.8	1.91	4	3.6	1.91	3.6	3.3	2	4.2	3.75	1.9	4.03	3.82	1.96	4	3.4	1.95	4	3.8	1.95	40	4.3	3.94	3.82	3.62	2	1.93	36	1.78	1.72	2.19	2.11	26	0.5	1.98	1.94	1.96	1.92	3.49	3.51	2.23
8	E0	4/10/15	Swansea	Tottenham	2	-2	D	2	1	H	M Dean	11	19	2	11	8	19	5	6	1	4	0	0	2.75	3.25	2.8	2.65	3.2	2.65	2.6	3.2	2.6	2.7	3.2	2.75	2.72	3.33	2.84	2.62	3.25	2.7	2.7	3.4	2.8	44	2.88	2.66	3.4	3.28	2.85	2.7	38	2.1	1.98	1.88	1.81	26	0	1.95	1.9	2.01	1.94	2.68	3.46	2.79
9	E0	17/10/15	Tottenham	Liverpool	0	0	D	0	0	D	C Pawson	13	12	4	3	15	11	8	6	1	2	0	0	2.5	3.5	3	2.5	3.2	2.95	2.5	3.2	2.75	2.4	3.4	2.88	2.48	3.54	2.99	2.5	3.3	3	2.45	3.5	3	45	2.5	2.43	3.58	3.4	3.1	2.91	41	1.87	1.79	2.14	2.01	25	0	1.8	1.75	2.2	2.13	2.28	3.52	3.36
10	E0	25/10/15	Bournemouth	Tottenham	1	-5	A	1	3	A	R East	11	14	3	9	8	15	4	5	0	1	0	0	3.4	3.5	2.25	3.3	3.3	2.25	3.2	3.2	2.2	3.4	3.3	2.25	3.58	3.42	2.23	3.5	3	2.25	3.5	3.4	2.25	43	3.59	3.38	3.5	3.32	2.25	2.22	39	2.05	1.97	1.91	1.83	22	0.25	2.02	1.97	1.93	1.9	3.52	3.55	2.2
11	E0	2/11/15	Tottenham	Aston Villa	3	-1	H	2	0	H	M Dean	17	13	6	2	6	15	4	3	0	3	0	0	1.44	4.75	8	1.42	4.33	7.25	1.4	4.4	7.3	1.44	4.5	7.5	1.43	4.8	9	1.44	4.2	8	1.4	4.8	9	43	1.45	1.42	4.84	4.52	9	8.11	38	1.82	1.77	2.12	2.02	25	-1	1.71	1.67	2.36	2.26	1.4	5.09	9.32
12	E0	8/11/15	Arsenal	Tottenham	1	-1	D	0	1	A	M Atkinson	10	14	4	4	12	17	7	6	0	1	0	0	1.73	4	5	1.72	3.8	4.4	1.6	3.9	5	1.7	4	5	1.7	4.18	5.21	1.75	3.4	5	1.73	4.1	5	43	1.75	1.69	4.25	3.95	5.21	4.85	33	1.63	1.59	2.5	2.33	22	-0.75	1.89	1.85	2.08	2.02	1.8	3.96	4.72
13	E0	22/11/15	Tottenham	West Ham	4	-1	H	2	0	H	A Taylor	22	10	12	4	13	9	7	6	2	2	0	0	1.57	4.2	6.5	1.57	4.1	5.25	1.6	3.7	5.4	1.57	4	6.5	1.55	4.43	6.78	1.6	3.75	6	1.55	4.4	6.5	41	1.6	1.55	4.5	4.15	6.8	6.22	34	1.78	1.7	2.34	2.14	26	-1	1.99	1.91	2	1.96	1.58	4.32	6.44
14	E0	29/11/15	Tottenham	Chelsea	0	0	D	0	0	D	M Oliver	9	5	4	1	14	9	4	4	4	2	0	0	2.6	3.4	2.9	2.6	3.1	2.9	2.6	3.2	2.6	2.6	3.4	2.8	2.58	3.49	2.89	2.5	3.2	2.9	2.55	3.5	2.88	48	2.6	2.54	3.5	3.34	2.94	2.81	43	1.96	1.88	1.99	1.92	27	-0.25	2.23	2.17	1.78	1.73	2.66	3.39	2.86
15	E0	5/12/15	West Brom	Tottenham	1	-1	D	1	1	D	J Moss	11	9	4	3	13	10	3	6	3	2	0	0	4.75	3.6	1.85	3.9	3.4	1.91	3.8	3.45	1.9	4.33	3.5	1.83	4.75	3.69	1.85	4.5	3.1	1.91	4.8	3.4	1.9	47	4.8	4.45	3.69	3.5	1.91	1.86	41	2.21	2.15	1.76	1.69	27	0.5	2.09	2.02	1.87	1.84	4.8	3.86	1.81
16	E0	13/12/15	Tottenham	Newcastle	1	-2	A	1	0	H	R East	20	8	8	4	13	14	6	2	2	2	0	0	1.36	5.5	9				1.4	4.4	7.3	1.36	5	8	1.39	5.32	9	1.4	4.33	9	1.36	5.4	9.5	50	1.4	1.37	5.5	4.96	9.5	8.4	39	1.62	1.57	2.46	2.35	30	-1.5	2.1	2.03	1.88	1.83	1.37	5.54	9.01
17	E0	19/12/15	Southampton	Tottenham	0	-2	A	0	2	A	K Friend	11	13	4	6	18	9	4	7	1	1	0	0	2.7	3.4	2.8	2.6	3.3	2.6	2.6	3.2	2.6	2.5	3.3	2.75	2.66	3.44	2.83	2.7	3.1	2.7	2.63	3.4	2.88	49	2.71	2.62	3.48	3.27	2.88	2.77	44	2.12	2	1.89	1.8	27	0	1.91	1.87	2.04	1.99	2.72	3.33	2.85
18	E0	26/12/15	Tottenham	Norwich	3	0	H	2	0	H	M Jones	15	11	10	3	4	13	9	4	1	2	0	0	1.4	4.75	8	1.42	4.4	7	1.45	4	7	1.4	4.5	7.5	1.46	4.77	8	1.44	4.2	8	1.44	4.8	8.5	48	1.48	1.43	4.86	4.55	8.5	7.7	42	1.75	1.68	2.3	2.15	30	-1	1.74	1.69	2.3	2.23	1.47	4.54	8.4
