week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	9/8/15	Arsenal	West Ham	0	-2	A	0	1	A	M Atkinson	22	8	6	4	12	9	5	4	1	3	0	0	1.29	6	12	1.28	5.75	10.5	1.33	4.8	8.3	1.29	5.5	12	1.31	5.75	12	1.3	5	11	1.3	5.75	12	45	1.33	1.29	6.16	5.53	12	10.75	39	1.71	1.64	2.3	2.22	27	-1.5	1.96	1.89	2.06	1.96	1.24	6.75	15
2	E0	15/08/15	West Ham	Leicester	1	-2	A	0	2	A	A Taylor	10	11	3	6	11	12	8	4	1	3	1	0	2.25	3.5	3.4	2.25	3.2	3.5	2.2	3.3	3.1	2.25	3.4	3.3	2.25	3.52	3.42	2.3	3.2	3.2	2.25	3.5	3.4	45	2.35	2.25	3.52	3.36	3.5	3.27	44	1.97	1.9	2	1.9	27	-0.25	1.98	1.92	1.99	1.93	2.38	3.54	3.15
3	E0	22/08/15	West Ham	Bournemouth	3	-4	A	0	2	A	J Moss	10	15	4	7	8	11	5	4	0	0	1	0	2.38	3.4	3.2	2.35	3.4	3.1	2.2	3.2	3.2	2.38	3.4	3.2	2.43	3.44	3.15	2.4	3.1	3.1	2.38	3.4	3.2	41	2.41	2.34	3.5	3.35	3.3	3.09	40	1.98	1.9	1.96	1.89	26	-0.25	2.08	2.01	1.89	1.84	2.64	3.51	2.81
4	E0	29/08/15	Liverpool	West Ham	0	-3	A	0	2	A	K Friend	13	12	1	5	17	11	5	7	3	1	1	1	1.36	5.5	9	1.36	5	7.25	1.4	4.4	7.3	1.4	5	9	1.36	5.28	10.21	1.36	4.5	9.5	1.36	5.4	9.5	40	1.4	1.36	5.5	4.99	10.21	9.06	37	1.74	1.68	2.3	2.17	26	-1.5	2.1	2.02	1.88	1.84	1.37	5.28	9.74
5	E0	14/09/15	West Ham	Newcastle	2	0	H	1	0	H	A Taylor	17	14	3	4	8	11	6	7	0	2	0	0	2.25	3.5	3.4	2.25	3.4	3	2.1	3.3	3.3	2.25	3.4	3.4	2.23	3.53	3.48	2.25	3.1	3.4	2.25	3.5	3.4	35	2.27	2.19	3.6	3.41	3.48	3.33	31	1.95	1.89	1.97	1.91	22	0	1.63	1.58	2.51	2.42	2.09	3.63	3.77
6	E0	19/09/15	Man City	West Ham	1	-2	A	1	2	A	R Madley	27	6	8	3	10	7	16	3	1	2	0	0	1.29	6.5	11	1.28	6	10.5	1.25	5.5	10.3	1.25	6.5	12	1.27	6.45	12.78	1.29	5	12	1.25	6.5	13	40	1.29	1.26	6.57	6.08	13	11.33	34	1.461	1.44	2.88	2.71	25	-1.5	1.77	1.73	2.21	2.17	1.29	6.2	11.5
7	E0	26/09/15	West Ham	Norwich	2	-2	D	1	1	D	M Dean	19	16	7	7	7	17	7	5	0	0	0	0	2.25	3.5	3.4	2.25	3.25	3.1	2.1	3.3	3.3	2.2	3.4	3.4	2.22	3.54	3.49	2.3	3.2	3.2	2.25	3.5	3.4	41	2.3	2.22	3.54	3.4	3.52	3.28	37	1.96	1.9	1.96	1.89	25	-0.5	2.26	2.19	1.75	1.72	2.25	3.49	3.45
8	E0	3/10/15	Sunderland	West Ham	2	-2	D	2	1	H	N Swarbrick	12	20	3	6	14	11	1	8	2	4	1	0	3.2	3.4	2.4	3.1	3.2	2.3	2.9	3.3	2.3	3.1	3.4	2.4	3.13	3.46	2.43	2.9	3.4	2.38	3.13	3.5	2.4	43	3.2	3.05	3.5	3.34	2.45	2.37	38	2	1.94	1.92	1.86	24	0.25	1.86	1.83	2.1	2.03	3.03	3.55	2.45
9	E0	17/10/15	Crystal Palace	West Ham	1	-3	A	1	1	D	M Clattenburg	6	24	1	4	9	11	1	9	1	3	1	0	2	3.6	4	2	3.5	3.5	1.9	3.45	3.8	2	3.6	3.75	2.01	3.67	3.99	2.05	3.3	3.75	2.05	3.5	4	46	2.05	1.98	3.75	3.54	4	3.8	42	1.96	1.9	2	1.9	27	-0.5	2.02	1.96	1.93	1.89	1.96	3.77	4.08
10	E0	24/10/15	West Ham	Chelsea	2	-1	H	1	0	H	J Moss	12	8	5	4	10	12	7	4	1	5	0	1	4	3.8	1.95	3.6	3.7	2	3.8	3.45	1.9	3.75	3.6	2	3.91	3.74	2.01	4	3.2	2	3.9	3.7	2	43	4.01	3.81	3.8	3.61	2.05	1.97	38	1.79	1.72	2.21	2.1	24	0.5	1.94	1.9	2.01	1.96	4.21	3.86	1.91
11	E0	31/10/15	Watford	West Ham	2	0	H	1	0	H	K Stroud	20	8	5	3	16	12	7	2	3	0	0	1	2.6	3.4	2.9	2.6	3.2	2.7	2.6	3.2	2.6	2.5	3.4	2.9	2.6	3.38	2.94	2.62	3.1	2.8	2.55	3.3	3	46	2.7	2.52	3.45	3.28	3	2.87	41	2.12	2.01	1.85	1.79	28	0	1.84	1.8	2.14	2.06	2.5	3.42	3.05
12	E0	7/11/15	West Ham	Everton	1	-1	D	1	1	D	P Tierney	16	13	5	4	11	12	3	5	1	2	0	0	2.6	3.5	2.8	2.55	3.3	2.7	2.5	3.3	2.65	2.6	3.4	2.8	2.58	3.49	2.89	2.62	3.1	2.8	2.55	3.5	2.88	43	2.62	2.53	3.55	3.4	2.89	2.78	36	1.8	1.75	2.14	2.07	24	0	1.87	1.83	2.09	2.02	2.45	3.59	2.99
13	E0	22/11/15	Tottenham	West Ham	4	-1	H	2	0	H	A Taylor	22	10	12	4	13	9	7	6	2	2	0	0	1.57	4.2	6.5	1.57	4.1	5.25	1.6	3.7	5.4	1.57	4	6.5	1.55	4.43	6.78	1.6	3.75	6	1.55	4.4	6.5	41	1.6	1.55	4.5	4.15	6.8	6.22	34	1.78	1.7	2.34	2.14	26	-1	1.99	1.91	2	1.96	1.58	4.32	6.44
14	E0	29/11/15	West Ham	West Brom	1	-1	D	1	0	H	M Atkinson	17	7	6	3	15	16	5	2	0	2	0	0	2.05	3.5	4	2.05	3.25	3.6	2	3.3	3.6	2.05	3.4	3.8	2.1	3.41	3.98	2.05	3.3	3.75	2.1	3.4	4	49	2.1	2.05	3.5	3.33	4.05	3.83	43	2.28	2.16	1.82	1.69	29	-0.5	2.1	2.04	1.87	1.83	2.13	3.35	3.96
15	E0	5/12/15	Man United	West Ham	0	0	D	0	0	D	M Clattenburg	21	9	1	2	9	13	6	2	1	0	0	0	1.44	4.5	9	1.44	4.33	8	1.4	4.4	7.3	1.4	4.33	8.5	1.43	4.7	9.06	1.44	3.8	9	1.44	4.5	9	47	1.46	1.43	4.8	4.38	9.23	8.4	42	2.06	1.97	1.91	1.83	28	-1	1.75	1.7	2.26	2.2	1.46	4.68	8.18
16	E0	12/12/15	West Ham	Stoke	0	0	D	0	0	D	A Marriner	22	12	9	3	7	9	11	7	1	2	0	0	2.63	3.3	2.9	2.65	3.1	2.9	2.5	3.3	2.65	2.5	3.1	2.8	2.63	3.33	2.94	2.62	3.1	2.8	2.6	3.25	3	50	2.66	2.55	3.4	3.19	3	2.89	43	2.26	2.18	1.77	1.67	27	0	1.86	1.82	2.09	2.04	2.59	3.25	3.07
