week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	9/8/15	Arsenal	West Ham	0	-2	A	0	1	A	M Atkinson	22	8	6	4	12	9	5	4	1	3	0	0	1.29	6	12	1.28	5.75	10.5	1.33	4.8	8.3	1.29	5.5	12	1.31	5.75	12	1.3	5	11	1.3	5.75	12	45	1.33	1.29	6.16	5.53	12	10.75	39	1.71	1.64	2.3	2.22	27	-1.5	1.96	1.89	2.06	1.96	1.24	6.75	15
2	E0	16/08/15	Crystal Palace	Arsenal	1	-2	A	1	1	D	L Mason	11	20	4	7	14	12	6	6	1	1	0	0	5.25	3.9	1.73	5	3.75	1.75	4.7	3.6	1.7	5	3.75	1.75	5.34	3.97	1.72	5	3.5	1.75	5.2	3.8	1.75	45	5.5	5	4.2	3.78	1.8	1.71	44	1.9	1.84	2.03	1.96	27	0.75	2.01	1.95	1.95	1.91	5.4	4.08	1.69
3	E0	24/08/15	Arsenal	Liverpool	0	0	D	0	0	D	M Oliver	19	15	5	8	2	13	7	8	1	4	0	0	1.75	4	5	1.75	3.75	5	1.8	3.5	4.2	1.75	3.75	5	1.74	4	5.12	1.73	3.5	5	1.73	4	5.2	38	1.8	1.72	4	3.82	5.2	4.9	37	1.84	1.77	2.15	2.02	24	-0.5	1.74	1.7	2.28	2.21	1.8	4.05	4.6
4	E0	29/08/15	Newcastle	Arsenal	0	-1	A	0	0	D	A Marriner	1	22	0	9	15	8	0	9	6	1	1	0	6	4.2	1.62	5.5	3.75	1.62	5	3.9	1.6	5.5	4	1.67	6.13	4.21	1.61	6	3.6	1.62	6.25	4.2	1.6	39	6.25	5.7	4.21	3.99	1.7	1.61	38	1.87	1.8	2.1	2	24	1	1.86	1.81	2.12	2.06	5.81	4.48	1.6
5	E0	12/9/15	Arsenal	Stoke	2	0	H	1	0	H	J Moss	29	9	12	4	6	13	13	1	1	1	0	0	1.29	6	12	1.3	5.5	9.75	1.3	5	9	1.3	5.5	12	1.28	6.12	13	1.3	5	11	1.3	5.75	12	36	1.3	1.27	6.13	5.71	13	11.27	28	1.68	1.63	2.33	2.25	24	-1.5	1.87	1.8	2.12	2.05	1.3	6.3	11
6	E0	19/09/15	Chelsea	Arsenal	2	0	H	0	0	D	M Dean	22	9	7	2	12	11	5	5	3	1	0	2	2.45	3.5	3	2.4	3.5	3	2.3	3.2	3	2.5	3.4	3	2.45	3.51	3.06	2.4	3.1	3.1	2.4	3.5	3.1	40	2.5	2.41	3.52	3.38	3.24	2.97	35	1.86	1.78	2.12	2.02	24	-0.25	2.11	2.05	1.85	1.82	2.65	3.46	2.82
7	E0	26/09/15	Leicester	Arsenal	2	-5	A	1	2	A	C Pawson	16	26	7	12	9	12	6	5	1	1	0	0	4.5	4	1.8	4	3.8	1.85	3.8	3.45	1.9	4.33	3.75	1.83	4.55	3.97	1.83	4	3.75	1.85	4.4	3.9	1.85	41	4.56	4.26	4.01	3.81	1.9	1.82	35	1.75	1.67	2.3	2.18	26	0.5	2.13	2.07	1.85	1.8	4.76	4.03	1.78
8	E0	4/10/15	Arsenal	Man United	3	0	H	3	0	H	A Taylor	12	9	5	5	8	17	3	6	1	3	0	0	2	3.8	3.8	2	3.5	3.75	2.1	3.3	3.3	2.05	3.4	3.8	2.06	3.67	3.81	1.95	3.6	3.75	2.05	3.7	3.8	44	2.1	2.01	3.8	3.59	3.9	3.69	38	1.9	1.83	2.08	1.97	25	-0.5	2.06	2	1.91	1.86	2.01	3.81	3.84
9	E0	17/10/15	Watford	Arsenal	0	-3	A	0	0	D	M Jones	8	17	1	6	11	12	3	9	2	1	0	0	6	4.2	1.62	5	4.1	1.6	5	3.9	1.6	6	4	1.62	6.29	4.31	1.59	6	3.6	1.62	6.25	4.2	1.6	46	6.5	5.76	4.33	4.06	1.62	1.59	41	1.79	1.72	2.23	2.1	28	1	1.91	1.86	2.06	2	6.75	4.54	1.53
10	E0	24/10/15	Arsenal	Everton	2	-1	H	2	1	H	L Mason	20	10	5	5	11	14	7	5	2	0	0	1	1.44	4.75	8	1.44	4.6	7.25	1.45	4	7	1.44	4.5	8	1.43	5.07	8.2	1.44	4	8	1.44	4.8	8	43	1.45	1.42	5.2	4.75	8.2	7.55	35	1.58	1.53	2.65	2.47	23	-1.5	2.17	2.12	1.8	1.76	1.39	5.3	8.8
