week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Bournemouth	Aston Villa	0	-1	A	0	0	D	M Clattenburg	11	7	2	3	13	13	6	3	3	4	0	0	2	3.6	4	2	3.3	3.7	2.1	3.3	3.3	2.05	3.3	4	1.95	3.65	4.27	1.91	3.5	4	2	3.5	4.2	45	2.1	1.96	3.65	3.48	4.33	3.98	43	2.11	2.02	1.88	1.79	26	-0.5	1.98	1.93	1.99	1.92	1.82	3.88	4.7
2	E0	14/08/15	Aston Villa	Man United	0	-1	A	0	1	A	M Dean	5	9	1	2	14	10	3	5	2	2	0	0	5.5	3.8	1.73	5	3.75	1.75	5	3.6	1.67	5.5	3.6	1.73	5.66	3.83	1.72	5.5	3.6	1.75	5.5	3.8	1.75	42	6	5.37	4	3.67	1.76	1.71	40	2.19	2.11	1.79	1.71	26	0.75	2.01	1.95	1.96	1.91	5.06	3.76	1.8
3	E0	22/08/15	Crystal Palace	Aston Villa	2	-1	H	0	0	D	K Stroud	16	11	6	2	12	15	6	4	3	3	0	0	1.85	3.6	4.75	1.85	3.5	4.1	1.9	3.4	3.9	1.85	3.5	4.5	1.85	3.63	4.89	1.85	3.4	4.5	1.85	3.6	4.8	41	1.9	1.83	3.7	3.52	4.89	4.52	39	2.16	2.08	1.81	1.73	27	-0.5	1.87	1.83	2.09	2.03	1.81	3.79	4.93
4	E0	29/08/15	Aston Villa	Sunderland	2	-2	D	2	1	H	R Madley	21	7	6	3	10	14	5	4	2	1	0	0	1.91	3.5	4.75	1.91	3.6	4.4	1.9	3.45	3.8	1.95	3.5	4.2	1.93	3.51	4.62	1.91	3.2	4.5	1.95	3.4	4.6	40	1.95	1.89	3.7	3.42	4.75	4.38	38	2.34	2.22	1.7	1.64	26	-0.5	1.95	1.89	2.02	1.96	2.12	3.31	4.07
5	E0	13/09/15	Leicester	Aston Villa	3	-2	H	0	1	A	M Dean	21	11	6	4	8	13	4	5	2	1	0	0	1.91	3.75	4.33	1.91	3.4	4	1.85	3.45	4	1.85	3.6	4.5	1.86	3.74	4.62	1.91	3.3	4.33	1.87	3.7	4.6	37	1.95	1.86	3.8	3.58	4.62	4.32	33	2	1.91	1.95	1.89	24	-0.5	1.89	1.85	2.08	2.01	1.88	3.78	4.47
6	E0	19/09/15	Aston Villa	West Brom	0	-1	A	0	1	A	M Atkinson	13	11	3	6	10	11	2	7	2	3	0	0	2.3	3.25	3.5	2.3	3.1	3.25	2.3	3.2	3	2.3	3.25	3.3	2.32	3.23	3.57	2.3	3.2	3.2	2.3	3.2	3.6	40	2.33	2.28	3.27	3.2	3.6	3.36	33	2.48	2.37	1.61	1.57	24	-0.25	1.98	1.93	1.98	1.93	2.4	3.18	3.46
7	E0	26/09/15	Liverpool	Aston Villa	3	-2	H	1	0	H	J Moss	21	10	12	4	8	13	11	1	0	0	0	0	1.53	4.33	7	1.53	4.2	6.5	1.5	4	6.1	1.53	4	7	1.53	4.28	7.48	1.53	3.8	7	1.55	4.1	7.5	41	1.56	1.52	4.4	4.13	7.5	6.81	37	2.05	1.95	1.95	1.84	25	-1	1.93	1.89	2.02	1.98	1.5	4.42	7.79
8	E0	3/10/15	Aston Villa	Stoke	0	-1	A	0	0	D	M Jones	13	12	2	5	12	12	9	5	1	0	0	0	2.5	3.3	3.1	2.5	3.25	2.95	2.4	3.3	2.75	2.5	3.3	3	2.5	3.34	3.11	2.5	3.2	2.9	2.5	3.3	3.13	44	2.55	2.47	3.4	3.23	3.13	2.99	38	2.28	2.19	1.73	1.67	24	-0.25	2.16	2.1	1.82	1.78	2.71	3.25	2.91
9	E0	17/10/15	Chelsea	Aston Villa	2	0	H	1	0	H	R East	9	8	3	1	22	17	4	4	1	3	0	0	1.33	5.75	10	1.33	5	8.5	1.35	4.8	7.6	1.36	5	10	1.34	5.41	11	1.36	4.8	8.5	1.33	5.5	10.5	46	1.37	1.34	5.75	5.13	11	9.41	40	1.69	1.64	2.34	2.24	28	-1.5	2.06	1.99	1.9	1.87	1.33	5.83	10.2
10	E0	24/10/15	Aston Villa	Swansea	1	-2	A	0	0	D	N Swarbrick	9	11	3	4	10	8	4	6	2	3	0	0	3	3.3	2.6	2.7	3.2	2.6	2.75	3.2	2.5	2.9	3.1	2.62	3.09	3.22	2.59	3	2.9	2.62	3	3.25	2.63	43	3.11	2.94	3.3	3.15	2.65	2.56	37	2.49	2.34	1.65	1.59	24	0	2.15	2.06	1.85	1.8	3.01	3.25	2.63
