week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Chelsea	Swansea	2	-2	D	2	1	H	M Oliver	11	18	3	10	15	16	4	8	1	3	1	0	1.36	5	11	1.4	4.75	9	1.33	4.8	8.3	1.4	4.5	10	1.39	4.92	10.39	1.4	4	10	1.4	5	9.5	45	1.43	1.37	5	4.66	11.26	9.57	43	1.88	1.8	2.07	1.99	27	-1.5	2.24	2.16	1.8	1.73	1.37	5.04	10.88
2	E0	16/08/15	Man City	Chelsea	3	0	H	1	0	H	M Atkinson	18	10	8	3	19	13	5	1	4	2	0	0	2.1	3.5	3.75	2.1	3.4	3.7	2.1	3.3	3.3	2.1	3.4	3.75	2.08	3.56	3.87	2.15	3.2	3.6	2.1	3.5	3.9	43	2.17	2.09	3.56	3.4	3.9	3.66	42	2.05	1.98	1.88	1.82	28	-0.5	2.12	2.06	1.87	1.81	2.01	3.69	3.97
3	E0	23/08/15	West Brom	Chelsea	2	-3	A	1	3	A	M Clattenburg	15	15	6	5	9	12	8	7	2	1	0	1	6.5	4	1.62	5.25	3.8	1.62	5.1	3.6	1.65	6	3.75	1.67	6.25	3.93	1.65	6	3.4	1.67	6.25	3.9	1.65	40	6.5	5.93	4.2	3.79	1.67	1.62	39	2.15	2.07	1.8	1.74	26	0.75	2.11	2.04	1.87	1.82	7.25	4.12	1.56
4	E0	29/08/15	Chelsea	Crystal Palace	1	-2	A	0	0	D	C Pawson	26	13	9	6	9	15	7	7	1	1	0	0	1.36	5	11	1.36	4.75	7.75	1.33	4.8	8.3	1.36	5	10	1.37	5.26	10.17	1.36	4.5	9.5	1.36	5	10.5	40	1.4	1.35	5.26	4.94	11	9.38	37	1.75	1.68	2.25	2.15	25	-1.5	2.12	2.05	1.85	1.81	1.37	5.1	10.31
5	E0	12/9/15	Everton	Chelsea	3	-1	H	2	1	H	A Marriner	14	15	9	2	12	12	7	14	2	2	0	0	4	3.6	2	3.75	3.5	2	3.6	3.3	2	4	3.4	2	4.11	3.57	2.01	4	3.1	2.05	4.1	3.6	2	37	4.11	3.91	3.7	3.45	2.05	1.99	32	2.05	1.99	1.89	1.82	25	0.5	1.93	1.88	2.03	1.97	3.56	3.51	2.2
6	E0	19/09/15	Chelsea	Arsenal	2	0	H	0	0	D	M Dean	22	9	7	2	12	11	5	5	3	1	0	2	2.45	3.5	3	2.4	3.5	3	2.3	3.2	3	2.5	3.4	3	2.45	3.51	3.06	2.4	3.1	3.1	2.4	3.5	3.1	40	2.5	2.41	3.52	3.38	3.24	2.97	35	1.86	1.78	2.12	2.02	24	-0.25	2.11	2.05	1.85	1.82	2.65	3.46	2.82
7	E0	26/09/15	Newcastle	Chelsea	2	-2	D	1	0	H	M Atkinson	11	16	5	4	12	15	4	6	1	2	0	0	6	4.2	1.62	5.75	3.9	1.62	5.4	3.7	1.6	6	4	1.62	5.98	4.16	1.63	6	3.6	1.62	6	4	1.65	41	6.1	5.62	4.2	3.94	1.67	1.62	37	1.88	1.81	2.09	1.99	24	0.75	2.14	2.08	1.84	1.8	5.8	4.24	1.63
8	E0	3/10/15	Chelsea	Southampton	1	-3	A	1	1	D	R Madley	10	13	3	5	14	14	4	6	2	5	0	0	1.83	3.7	4.8	1.83	3.6	4.5	1.7	3.6	4.7	1.8	3.75	4.5	1.83	3.76	4.84	1.83	3.2	4.8	1.83	3.75	4.75	44	1.87	1.8	3.8	3.63	5.25	4.61	40	1.95	1.88	2	1.91	25	-0.75	2.12	2.05	1.9	1.82	1.79	3.9	4.89
9	E0	17/10/15	Chelsea	Aston Villa	2	0	H	1	0	H	R East	9	8	3	1	22	17	4	4	1	3	0	0	1.33	5.75	10	1.33	5	8.5	1.35	4.8	7.6	1.36	5	10	1.34	5.41	11	1.36	4.8	8.5	1.33	5.5	10.5	46	1.37	1.34	5.75	5.13	11	9.41	40	1.69	1.64	2.34	2.24	28	-1.5	2.06	1.99	1.9	1.87	1.33	5.83	10.2
10	E0	24/10/15	West Ham	Chelsea	2	-1	H	1	0	H	J Moss	12	8	5	4	10	12	7	4	1	5	0	1	4	3.8	1.95	3.6	3.7	2	3.8	3.45	1.9	3.75	3.6	2	3.91	3.74	2.01	4	3.2	2	3.9	3.7	2	43	4.01	3.81	3.8	3.61	2.05	1.97	38	1.79	1.72	2.21	2.1	24	0.5	1.94	1.9	2.01	1.96	4.21	3.86	1.91
11	E0	31/10/15	Chelsea	Liverpool	1	-3	A	1	1	D	M Clattenburg	8	16	2	7	9	21	1	7	1	4	0	0	2.1	3.5	3.75	2.1	3.3	3.4	2.1	3.2	3.4	2.1	3.4	3.75	2.07	3.54	3.92	2.1	3.2	3.75	2.1	3.4	3.9	46	2.13	2.07	3.56	3.36	4	3.73	40	2.13	2.04	1.92	1.77	28	-0.5	2.13	2.06	1.86	1.81	2.12	3.47	3.84
12	E0	7/11/15	Stoke	Chelsea	1	0	H	0	0	D	A Taylor	8	19	2	4	13	10	1	9	3	1	0	0	3.8	3.6	2.05	3.6	3.25	2.05	3.3	3.3	2.1	3.8	3.4	2.05	3.96	3.51	2.07	3.75	3.1	2.1	3.9	3.5	2.1	43	4	3.74	3.6	3.38	2.1	2.06	37	2.16	2.08	1.8	1.74	24	0.5	1.88	1.83	2.09	2.04	4.53	3.66	1.9
13	E0	21/11/15	Chelsea	Norwich	1	0	H	0	0	D	C Pawson	21	4	7	2	4	12	6	5	1	4	0	0	1.4	5	9	1.4	4.75	8	1.4	4.4	7.3	1.44	4.5	8.5	1.43	4.86	8.78	1.4	4.5	8	1.44	4.8	8.5	42	1.45	1.42	5	4.62	9	8.04	36	1.78	1.71	2.3	2.12	26	-1.5	2.29	2.23	1.75	1.69	1.41	5.03	8.82
