week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Norwich	Crystal Palace	1	-3	A	0	1	A	S Hooper	17	11	6	7	14	20	1	4	1	0	0	0	2.55	3.3	3	2.6	3.2	2.7	2.4	3.2	2.85	2.62	3.2	2.9	2.52	3.35	3.08	2.6	3.1	2.88	2.6	3.25	3	45	2.63	2.53	3.42	3.21	3.11	2.92	43	2.25	2.18	1.75	1.67	27	0	1.83	1.78	2.17	2.08	2.46	3.39	3.14
2	E0	16/08/15	Crystal Palace	Arsenal	1	-2	A	1	1	D	L Mason	11	20	4	7	14	12	6	6	1	1	0	0	5.25	3.9	1.73	5	3.75	1.75	4.7	3.6	1.7	5	3.75	1.75	5.34	3.97	1.72	5	3.5	1.75	5.2	3.8	1.75	45	5.5	5	4.2	3.78	1.8	1.71	44	1.9	1.84	2.03	1.96	27	0.75	2.01	1.95	1.95	1.91	5.4	4.08	1.69
3	E0	22/08/15	Crystal Palace	Aston Villa	2	-1	H	0	0	D	K Stroud	16	11	6	2	12	15	6	4	3	3	0	0	1.85	3.6	4.75	1.85	3.5	4.1	1.9	3.4	3.9	1.85	3.5	4.5	1.85	3.63	4.89	1.85	3.4	4.5	1.85	3.6	4.8	41	1.9	1.83	3.7	3.52	4.89	4.52	39	2.16	2.08	1.81	1.73	27	-0.5	1.87	1.83	2.09	2.03	1.81	3.79	4.93
4	E0	29/08/15	Chelsea	Crystal Palace	1	-2	A	0	0	D	C Pawson	26	13	9	6	9	15	7	7	1	1	0	0	1.36	5	11	1.36	4.75	7.75	1.33	4.8	8.3	1.36	5	10	1.37	5.26	10.17	1.36	4.5	9.5	1.36	5	10.5	40	1.4	1.35	5.26	4.94	11	9.38	37	1.75	1.68	2.25	2.15	25	-1.5	2.12	2.05	1.85	1.81	1.37	5.1	10.31
5	E0	12/9/15	Crystal Palace	Man City	0	-1	A	0	0	D	M Jones	10	21	2	7	13	13	4	4	2	3	0	0	5.5	4.2	1.67	5.25	3.9	1.67	5.4	3.7	1.6	5.25	4	1.67	5.75	4.16	1.65	5.5	3.8	1.62	5.5	4.2	1.65	36	6	5.44	4.25	4.05	1.67	1.62	30	1.67	1.63	2.35	2.27	25	1	1.82	1.78	2.16	2.09	4.95	3.89	1.78
6	E0	20/09/15	Tottenham	Crystal Palace	1	0	H	0	0	D	M Oliver	22	12	6	4	9	11	6	5	1	2	0	0	2	3.6	4	2	3.4	3.6	1.85	3.45	4	2	3.5	4	1.99	3.61	4.15	1.95	3.5	3.8	2	3.6	4	40	2.02	1.97	3.72	3.48	4.33	3.95	36	1.97	1.91	1.96	1.89	25	-0.5	2.02	1.97	1.94	1.89	1.94	3.78	4.15
7	E0	27/09/15	Watford	Crystal Palace	0	-1	A	0	0	D	A Taylor	15	16	2	3	17	22	6	4	4	4	0	0	2.5	3.3	3.1	2.5	3.2	2.8	2.5	3.2	2.75	2.5	3.3	2.9	2.49	3.36	3.12	2.5	3.1	3	2.7	3.13	3	41	2.7	2.48	3.4	3.25	3.12	2.96	36	2.2	2.13	1.76	1.71	25	0	1.78	1.75	2.21	2.13	2.61	3.38	2.93
8	E0	3/10/15	Crystal Palace	West Brom	2	0	H	0	0	D	J Moss	21	7	8	2	14	13	8	3	3	3	0	0	1.83	3.6	5	1.8	3.4	4.5	1.8	3.5	4.2	1.85	3.5	4.75	1.84	3.65	4.93	1.85	3.1	5	1.85	3.5	5	43	1.87	1.81	3.7	3.49	5.05	4.74	38	2.25	2.14	1.77	1.7	25	-0.75	2.11	2.05	1.87	1.82	1.83	3.64	5
9	E0	17/10/15	Crystal Palace	West Ham	1	-3	A	1	1	D	M Clattenburg	6	24	1	4	9	11	1	9	1	3	1	0	2	3.6	4	2	3.5	3.5	1.9	3.45	3.8	2	3.6	3.75	2.01	3.67	3.99	2.05	3.3	3.75	2.05	3.5	4	46	2.05	1.98	3.75	3.54	4	3.8	42	1.96	1.9	2	1.9	27	-0.5	2.02	1.96	1.93	1.89	1.96	3.77	4.08
10	E0	24/10/15	Leicester	Crystal Palace	1	0	H	0	0	D	M Dean	12	9	3	4	7	11	3	2	3	1	0	0	2.2	3.6	3.4	2.25	3.3	3.1	2.2	3.2	3.2	2.25	3.4	3.3	2.21	3.56	3.48	2.3	2.9	3.5	2.2	3.6	3.4	43	2.3	2.21	3.6	3.41	3.52	3.31	38	1.79	1.74	2.16	2.08	23	-0.25	1.92	1.89	2.04	1.98	2.17	3.57	3.58
