week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Everton	Watford	2	-2	D	0	1	A	M Jones	10	11	5	5	7	13	8	2	1	2	0	0	1.7	3.9	5.5	1.7	3.5	5	1.7	3.6	4.7	1.75	3.8	5	1.7	3.95	5.62	1.73	3.5	5	1.73	3.9	5.4	45	1.75	1.69	4	3.76	5.77	5.25	44	1.93	1.84	2.03	1.96	26	-1	2.28	2.18	1.76	1.71	1.75	3.76	5.44
2	E0	15/08/15	Southampton	Everton	0	-3	A	0	2	A	M Oliver	17	10	4	4	11	10	9	9	4	2	0	0	1.95	3.6	4.33	1.95	3.5	4.1	2.1	3.2	3.4	2	3.3	4.33	1.98	3.6	4.21	2	3.25	4	2	3.5	4.33	45	2.1	1.95	3.68	3.45	4.5	4.09	43	2.23	2.16	1.76	1.68	28	-0.5	1.98	1.92	1.99	1.93	2.03	3.54	4.08
3	E0	23/08/15	Everton	Man City	0	-2	A	0	0	D	A Taylor	10	16	1	9	5	7	8	7	0	3	0	0	5	4	1.73	4.4	3.75	1.73	4.7	3.6	1.7	5	4	1.73	4.85	4.08	1.76	5	3.5	1.75	5	4	1.75	38	5	4.72	4.2	3.92	1.77	1.73	36	1.73	1.66	2.3	2.2	26	0.75	1.96	1.92	1.99	1.93	5.47	4.1	1.68
4	E0	29/08/15	Tottenham	Everton	0	0	D	0	0	D	M Jones	20	8	6	3	20	9	6	2	4	1	0	0	2	3.5	4.2	1.95	3.4	3.75	2	3.3	3.6	2	3.5	4	1.97	3.72	4.09	2	3.25	4	1.93	3.7	4.2	40	2	1.94	3.72	3.53	4.33	3.98	39	1.89	1.83	2.05	1.96	26	-0.5	1.97	1.92	1.98	1.93	2.1	3.55	3.81
5	E0	12/9/15	Everton	Chelsea	3	-1	H	2	1	H	A Marriner	14	15	9	2	12	12	7	14	2	2	0	0	4	3.6	2	3.75	3.5	2	3.6	3.3	2	4	3.4	2	4.11	3.57	2.01	4	3.1	2.05	4.1	3.6	2	37	4.11	3.91	3.7	3.45	2.05	1.99	32	2.05	1.99	1.89	1.82	25	0.5	1.93	1.88	2.03	1.97	3.56	3.51	2.2
6	E0	19/09/15	Swansea	Everton	0	0	D	0	0	D	S Attwell	12	17	3	2	12	11	2	4	2	2	0	1	2.3	3.4	3.4	2.3	3.2	3.1	2.3	3.2	3	2.25	3.4	3.4	2.3	3.44	3.4	2.3	3.2	3.2	2.25	3.4	3.4	40	2.34	2.26	3.47	3.33	3.41	3.27	35	2.08	2.03	1.87	1.78	24	-0.25	1.98	1.93	1.97	1.92	2.21	3.45	3.61
7	E0	28/09/15	West Brom	Everton	2	-3	A	1	0	H	R Madley	9	12	4	4	9	8	6	4	0	3	0	0	3.1	3.3	2.5	2.8	3.25	2.45	2.85	3.2	2.4	3	3.25	2.5	3.06	3.39	2.51	3.1	3	2.5	3.1	3.3	2.5	39	3.1	2.98	3.4	3.25	2.55	2.47	34	2.34	2.23	1.71	1.64	23	0	2.17	2.1	1.82	1.77	3.02	3.36	2.55
8	E0	4/10/15	Everton	Liverpool	1	-1	D	1	1	D	M Atkinson	14	13	4	4	10	19	5	11	3	3	0	0	2.7	3.4	2.8	2.7	3.2	2.75	2.6	3.2	2.6	2.7	3.25	2.8	2.75	3.42	2.75	2.75	2.8	2.9	2.7	3.4	2.8	43	2.8	2.66	3.47	3.27	2.9	2.74	40	2.05	1.98	1.88	1.82	25	0	1.97	1.89	2.01	1.96	3.16	3.44	2.42
9	E0	17/10/15	Everton	Man United	0	-3	A	0	2	A	J Moss	12	10	3	7	12	14	5	3	2	2	0	0	3.25	3.4	2.38	3	3.3	2.4	2.9	3.3	2.3	3.25	3.25	2.38	3.23	3.4	2.4	3.2	3	2.4	3.2	3.3	2.45	45	3.3	3.15	3.44	3.29	2.45	2.35	41	2.11	2.02	1.85	1.78	25	0.25	1.88	1.85	2.07	2.01	3.29	3.48	2.33
10	E0	24/10/15	Arsenal	Everton	2	-1	H	2	1	H	L Mason	20	10	5	5	11	14	7	5	2	0	0	1	1.44	4.75	8	1.44	4.6	7.25	1.45	4	7	1.44	4.5	8	1.43	5.07	8.2	1.44	4	8	1.44	4.8	8	43	1.45	1.42	5.2	4.75	8.2	7.55	35	1.58	1.53	2.65	2.47	23	-1.5	2.17	2.12	1.8	1.76	1.39	5.3	8.8
