week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Leicester	Sunderland	4	-2	H	3	0	H	L Mason	19	10	8	5	13	17	6	3	2	4	0	0	1.95	3.5	4.33	2	3.3	3.75	2	3.3	3.6	2	3.4	4.2	1.99	3.48	4.34	2	3.1	2.7	2	3.4	4.33	45	2.03	1.96	3.5	3.37	4.52	4.06	43	2.27	2.18	1.73	1.67	26	-0.5	2	1.95	1.96	1.9	1.79	3.74	5.1
2	E0	15/08/15	West Ham	Leicester	1	-2	A	0	2	A	A Taylor	10	11	3	6	11	12	8	4	1	3	1	0	2.25	3.5	3.4	2.25	3.2	3.5	2.2	3.3	3.1	2.25	3.4	3.3	2.25	3.52	3.42	2.3	3.2	3.2	2.25	3.5	3.4	45	2.35	2.25	3.52	3.36	3.5	3.27	44	1.97	1.9	2	1.9	27	-0.25	1.98	1.92	1.99	1.93	2.38	3.54	3.15
3	E0	22/08/15	Leicester	Tottenham	1	-1	D	0	0	D	M Atkinson	13	19	2	6	7	14	2	7	1	4	0	0	2.63	3.6	2.75	2.65	3.3	2.65	2.6	3.2	2.6	2.7	3.4	2.7	2.69	3.52	2.75	2.7	3.1	2.7	2.7	3.5	2.7	41	2.8	2.63	3.6	3.38	2.8	2.67	36	1.88	1.78	2.09	1.97	27	0	1.96	1.9	2.01	1.93	2.61	3.5	2.85
4	E0	29/08/15	Bournemouth	Leicester	1	-1	D	1	0	H	N Swarbrick	5	4	2	2	9	19	4	4	2	4	0	0	2.2	3.6	3.4	2.2	3.3	3.2	2.2	3.2	3.2	2.2	3.4	3.4	2.15	3.63	3.57	2.2	3.2	3.4	2.15	3.5	3.6	40	2.25	2.14	3.63	3.48	3.6	3.38	39	1.91	1.86	2.03	1.94	25	-0.25	1.88	1.84	2.08	2.02	2.06	3.65	3.82
5	E0	13/09/15	Leicester	Aston Villa	3	-2	H	0	1	A	M Dean	21	11	6	4	8	13	4	5	2	1	0	0	1.91	3.75	4.33	1.91	3.4	4	1.85	3.45	4	1.85	3.6	4.5	1.86	3.74	4.62	1.91	3.3	4.33	1.87	3.7	4.6	37	1.95	1.86	3.8	3.58	4.62	4.32	33	2	1.91	1.95	1.89	24	-0.5	1.89	1.85	2.08	2.01	1.88	3.78	4.47
6	E0	19/09/15	Stoke	Leicester	2	-2	D	2	0	H	A Marriner	11	12	4	5	7	12	3	4	1	4	0	0	2.5	3.4	3	2.5	3.2	2.8	2.4	3.2	2.85	2.5	3.4	3	2.47	3.41	3.1	2.5	3	3	2.45	3.4	3.13	40	2.5	2.43	3.42	3.3	3.13	2.98	35	2.09	2.03	1.84	1.77	24	0	1.77	1.73	2.21	2.15	2.99	3.45	2.53
7	E0	26/09/15	Leicester	Arsenal	2	-5	A	1	2	A	C Pawson	16	26	7	12	9	12	6	5	1	1	0	0	4.5	4	1.8	4	3.8	1.85	3.8	3.45	1.9	4.33	3.75	1.83	4.55	3.97	1.83	4	3.75	1.85	4.4	3.9	1.85	41	4.56	4.26	4.01	3.81	1.9	1.82	35	1.75	1.67	2.3	2.18	26	0.5	2.13	2.07	1.85	1.8	4.76	4.03	1.78
8	E0	3/10/15	Norwich	Leicester	1	-2	A	0	1	A	M Clattenburg	17	16	2	5	4	4	16	8	0	1	0	0	2.3	3.5	3.3	2.3	3.1	3.2	2.3	3.3	2.9	2.25	3.4	3.3	2.26	3.63	3.31	2.25	3.4	3.1	2.3	3.6	3.2	44	2.3	2.25	3.63	3.46	3.31	3.15	38	1.86	1.74	2.18	2.08	26	-0.5	2.3	2.23	1.74	1.7	2.33	3.44	3.34
9	E0	17/10/15	Southampton	Leicester	2	-2	D	2	0	H	P Tierney	14	26	6	7	16	10	6	7	2	0	0	0	1.75	4	5	1.75	3.7	4.4	1.8	3.5	4.2	1.75	3.75	5	1.76	3.88	5.1	1.8	3.25	5	1.75	3.9	5	46	1.8	1.75	4	3.75	5.12	4.71	41	1.82	1.75	2.17	2.06	26	-0.5	1.79	1.74	2.21	2.14	1.73	3.94	5.32
10	E0	24/10/15	Leicester	Crystal Palace	1	0	H	0	0	D	M Dean	12	9	3	4	7	11	3	2	3	1	0	0	2.2	3.6	3.4	2.25	3.3	3.1	2.2	3.2	3.2	2.25	3.4	3.3	2.21	3.56	3.48	2.3	2.9	3.5	2.2	3.6	3.4	43	2.3	2.21	3.6	3.41	3.52	3.31	38	1.79	1.74	2.16	2.08	23	-0.25	1.92	1.89	2.04	1.98	2.17	3.57	3.58
11	E0	31/10/15	West Brom	Leicester	2	-3	A	1	0	H	A Taylor	14	13	6	5	3	11	6	4	0	2	0	0	2.9	3.4	2.6	2.6	3.3	2.6	2.65	3.3	2.5	2.88	3.3	2.6	2.84	3.36	2.7	2.9	3	2.62	2.9	3.3	2.63	46	2.9	2.82	3.4	3.25	2.7	2.58	41	2.14	2.04	1.84	1.77	28	0	2.08	2	1.92	1.84	2.97	3.38	2.58
12	E0	7/11/15	Leicester	Watford	2	-1	H	0	0	D	R East	12	8	6	4	10	10	4	2	0	1	0	0	1.85	3.8	4.5	1.85	3.6	4	1.85	3.45	4	1.85	3.75	4.33	1.88	3.79	4.43	1.83	3.2	4.33	1.85	3.8	4.5	43	1.88	1.84	3.9	3.67	4.6	4.3	37	1.87	1.8	2.07	2	24	-0.5	1.88	1.83	2.09	2.03	1.93	3.71	4.34
13	E0	21/11/15	Newcastle	Leicester	0	-3	A	0	1	A	M Jones	9	18	1	7	9	12	4	9	4	1	0	0	2.88	3.6	2.5	2.65	3.4	2.5	2.65	3.3	2.5	2.8	3.5	2.5	2.85	3.55	2.58	2.75	3.25	2.6	2.8	3.6	2.55	40	2.9	2.79	3.65	3.44	2.6	2.51	35	1.76	1.68	2.25	2.17	24	0	2.07	2.01	1.88	1.84	2.94	3.57	2.5
14	E0	28/11/15	Leicester	Man United	1	-1	D	1	1	D	C Pawson	7	10	3	2	5	7	1	8	0	1	0	0	3.1	3.5	2.4	2.95	3.4	2.4	2.9	3.3	2.3	3	3.4	2.38	3.26	3.45	2.36	3.1	3.1	2.4	3.3	3.4	2.38	47	3.3	3.13	3.53	3.35	2.4	2.34	41	2.11	2.02	1.87	1.78	27	0.25	1.92	1.88	2.03	1.99	3.26	3.49	2.34
15	E0	5/12/15	Swansea	Leicester	0	-3	A	0	2	A	M Oliver	10	16	2	5	3	19	3	8	2	3	0	0	2.7	3.4	2.75	2.75	3.25	2.65	2.65	3.3	2.5	2.5	3.3	2.62	2.68	3.44	2.8	2.8	3.1	2.62	2.7	3.5	2.75	47	2.8	2.66	3.5	3.35	2.8	2.68	42	1.92	1.81	2.05	1.98	28	0	1.98	1.91	2.01	1.94	2.55	3.33	3.06
16	E0	14/12/15	Leicester	Chelsea	2	-1	H	1	0	H	M Clattenburg	9	11	5	5	16	8	1	8	2	0	0	0	3.2	3.5	2.35	3	3.3	2.4	3	3.2	2.3	3	3.4	2.3	3.11	3.59	2.38	3.2	3.2	2.3	3.13	3.5	2.4	48	3.4	3.07	3.6	3.4	2.43	2.33	43	1.99	1.9	1.98	1.89	26	0.25	1.88	1.84	2.07	2.02	3.52	3.52	2.21
17	E0	19/12/15	Everton	Leicester	2	-3	A	1	1	D	J Moss	13	10	5	5	6	14	10	2	2	1	0	0	2.1	3.75	3.6	2.1	3.4	3.3	2.1	3.3	3.3	2.05	3.6	3.4	2.07	3.8	3.65	2.1	3.3	3.5	2.1	3.7	3.6	49	2.1	2.05	3.8	3.61	3.7	3.51	43	1.67	1.62	2.4	2.27	29	-0.5	2.08	2.03	1.89	1.83	2.05	3.78	3.73
18	E0	26/12/15	Liverpool	Leicester	1	0	H	0	0	D	M Atkinson	25	7	4	3	11	8	7	6	2	1	0	0	1.91	3.8	3.8	1.95	3.7	3.75	1.9	3.45	3.8	1.91	3.75	3.75	1.95	3.87	4	1.95	3.5	3.8	1.95	3.8	4	49	2	1.93	3.91	3.72	4	3.81	40	1.7	1.65	2.3	2.21	29	-0.5	1.96	1.92	1.98	1.94	1.99	3.79	3.94
