week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	9/8/15	Stoke	Liverpool	0	-1	A	0	0	D	A Taylor	7	8	1	3	9	16	3	5	2	4	0	0	3.4	3.4	2.3	3.2	3.4	2.3	2.9	3.3	2.3	3.4	3.3	2.3	3.48	3.46	2.25	3.3	3.1	2.3	3.4	3.4	2.3	45	3.51	3.33	3.51	3.33	2.35	2.24	43	2.15	2.06	1.82	1.75	26	0.25	2	1.95	1.96	1.91	3.89	3.51	2.09
2	E0	17/08/15	Liverpool	Bournemouth	1	0	H	1	0	H	C Pawson	18	13	2	2	11	18	6	8	1	4	0	0	1.45	4.75	8	1.48	4.75	7.25	1.4	4.4	7.3	1.45	4.5	7.5	1.44	4.74	8.6	1.5	4.2	6.5	1.45	4.75	8.5	43	1.5	1.44	5	4.46	8.6	7.71	42	1.83	1.75	2.2	2.05	25	-1	1.76	1.72	2.26	2.17	1.54	4.37	7.07
3	E0	24/08/15	Arsenal	Liverpool	0	0	D	0	0	D	M Oliver	19	15	5	8	2	13	7	8	1	4	0	0	1.75	4	5	1.75	3.75	5	1.8	3.5	4.2	1.75	3.75	5	1.74	4	5.12	1.73	3.5	5	1.73	4	5.2	38	1.8	1.72	4	3.82	5.2	4.9	37	1.84	1.77	2.15	2.02	24	-0.5	1.74	1.7	2.28	2.21	1.8	4.05	4.6
4	E0	29/08/15	Liverpool	West Ham	0	-3	A	0	2	A	K Friend	13	12	1	5	17	11	5	7	3	1	1	1	1.36	5.5	9	1.36	5	7.25	1.4	4.4	7.3	1.4	5	9	1.36	5.28	10.21	1.36	4.5	9.5	1.36	5.4	9.5	40	1.4	1.36	5.5	4.99	10.21	9.06	37	1.74	1.68	2.3	2.17	26	-1.5	2.1	2.02	1.88	1.84	1.37	5.28	9.74
5	E0	12/9/15	Man United	Liverpool	3	-1	H	0	0	D	M Oliver	9	8	3	4	6	11	4	4	1	2	0	0	2	3.4	4.33	2	3.2	4.33	1.85	3.45	4	2	3.4	4.2	1.94	3.49	4.56	1.95	3.4	4.5	1.95	3.5	4.33	37	2	1.93	3.55	3.41	4.59	4.27	31	2.22	2.13	1.77	1.7	24	-0.5	1.96	1.92	2	1.93	1.94	3.41	4.7
6	E0	20/09/15	Liverpool	Norwich	1	-1	D	0	0	D	A Taylor	23	7	7	2	4	13	6	2	1	2	0	0	1.67	4	5.75	1.67	3.8	5.5	1.55	3.9	5.6	1.67	3.8	5.5	1.68	3.94	5.81	1.67	3.6	5.5	1.67	4	5.75	40	1.68	1.64	4.1	3.86	6	5.54	36	1.92	1.86	2.03	1.93	25	-1	2.26	2.16	1.77	1.73	1.59	4.23	6.5
7	E0	26/09/15	Liverpool	Aston Villa	3	-2	H	1	0	H	J Moss	21	10	12	4	8	13	11	1	0	0	0	0	1.53	4.33	7	1.53	4.2	6.5	1.5	4	6.1	1.53	4	7	1.53	4.28	7.48	1.53	3.8	7	1.55	4.1	7.5	41	1.56	1.52	4.4	4.13	7.5	6.81	37	2.05	1.95	1.95	1.84	25	-1	1.93	1.89	2.02	1.98	1.5	4.42	7.79
8	E0	4/10/15	Everton	Liverpool	1	-1	D	1	1	D	M Atkinson	14	13	4	4	10	19	5	11	3	3	0	0	2.7	3.4	2.8	2.7	3.2	2.75	2.6	3.2	2.6	2.7	3.25	2.8	2.75	3.42	2.75	2.75	2.8	2.9	2.7	3.4	2.8	43	2.8	2.66	3.47	3.27	2.9	2.74	40	2.05	1.98	1.88	1.82	25	0	1.97	1.89	2.01	1.96	3.16	3.44	2.42
9	E0	17/10/15	Tottenham	Liverpool	0	0	D	0	0	D	C Pawson	13	12	4	3	15	11	8	6	1	2	0	0	2.5	3.5	3	2.5	3.2	2.95	2.5	3.2	2.75	2.4	3.4	2.88	2.48	3.54	2.99	2.5	3.3	3	2.45	3.5	3	45	2.5	2.43	3.58	3.4	3.1	2.91	41	1.87	1.79	2.14	2.01	25	0	1.8	1.75	2.2	2.13	2.28	3.52	3.36
10	E0	25/10/15	Liverpool	Southampton	1	-1	D	0	0	D	A Marriner	15	8	2	3	8	11	10	7	1	0	0	1	2.05	3.6	3.8	2.05	3.5	3.6	1.85	3.45	4	2.1	3.4	3.75	2.08	3.56	3.87	2.1	3.3	3.9	2.1	3.5	3.8	43	2.1	2.05	3.62	3.43	4	3.74	39	2.06	1.95	1.91	1.84	24	-0.5	2.08	2.04	1.86	1.83	2.09	3.53	3.87
11	E0	31/10/15	Chelsea	Liverpool	1	-3	A	1	1	D	M Clattenburg	8	16	2	7	9	21	1	7	1	4	0	0	2.1	3.5	3.75	2.1	3.3	3.4	2.1	3.2	3.4	2.1	3.4	3.75	2.07	3.54	3.92	2.1	3.2	3.75	2.1	3.4	3.9	46	2.13	2.07	3.56	3.36	4	3.73	40	2.13	2.04	1.92	1.77	28	-0.5	2.13	2.06	1.86	1.81	2.12	3.47	3.84
12	E0	8/11/15	Liverpool	Crystal Palace	1	-2	A	1	1	D	N Swarbrick	22	9	4	4	7	6	14	6	1	2	0	0	1.67	3.8	6	1.67	3.7	5	1.6	3.7	5.4	1.7	3.75	5.5	1.68	3.99	5.73	1.7	3.2	6	1.67	4	5.75	43	1.7	1.66	4	3.8	6	5.39	37	2	1.92	1.94	1.87	22	-0.75	1.91	1.86	2.06	2	1.64	3.92	6.51
13	E0	21/11/15	Man City	Liverpool	1	-4	A	1	3	A	J Moss	11	14	3	9	5	13	11	5	0	3	0	0	1.7	4	5.5	1.7	3.75	5.5	1.7	3.6	4.7	1.7	3.8	5.5	1.67	4.15	5.56	1.7	3.5	5.5	1.65	4.1	5.75	42	1.7	1.66	4.2	3.94	5.75	5.28	36	1.79	1.73	2.25	2.09	25	-0.75	1.86	1.82	2.09	2.05	1.89	3.72	4.48
14	E0	29/11/15	Liverpool	Swansea	1	0	H	0	0	D	A Taylor	10	8	2	0	12	6	8	7	3	1	0	0	1.44	4.75	8	1.45	4.4	7.5	1.5	4	6.1	1.5	4.33	7	1.48	4.55	7.95	1.5	4	7	1.45	4.75	8	48	1.5	1.46	4.75	4.37	8	7.36	42	1.87	1.79	2.08	2.01	29	-1	1.81	1.75	2.23	2.14	1.48	4.55	7.95
15	E0	6/12/15	Newcastle	Liverpool	2	0	H	0	0	D	A Marriner	6	10	1	1	6	10	2	7	3	1	0	0	5.75	4.33	1.62	5.5	4	1.62	5.4	3.7	1.6	5.25	4	1.57	5.75	4.35	1.62	5.5	3.75	1.62	6	4.2	1.62	47	6	5.58	4.43	4.1	1.65	1.6	41	1.8	1.73	2.2	2.08	29	1	1.88	1.85	2.08	2.01	6.4	4.48	1.56
16	E0	13/12/15	Liverpool	West Brom	2	-2	D	1	1	D	C Pawson	28	4	8	2	7	10	4	4	0	0	0	0	1.4	4.75	10	1.4	4.5	8.5	1.4	4.4	7.3	1.4	4.33	9	1.45	4.59	9	1.4	4.33	9	1.44	4.6	9.5	50	1.45	1.41	4.8	4.42	10	8.84	45	2.1	2.02	1.87	1.78	28	-1.5	2.38	2.27	1.7	1.67	1.44	4.7	8.95
17	E0	20/12/15	Watford	Liverpool	3	0	H	2	0	H	M Clattenburg	6	12	5	4	6	9	7	9	1	0	0	0	4.2	3.6	1.95	4	3.3	2	3.6	3.3	2	3.8	3.4	1.95	4.14	3.55	2.01	4	3.2	2	4.33	3.4	2	48	4.3	4.02	3.6	3.43	2.01	1.96	43	2.15	2.08	1.81	1.74	28	0.5	1.96	1.91	2.01	1.94	3.68	3.58	2.13
18	E0	26/12/15	Liverpool	Leicester	1	0	H	0	0	D	M Atkinson	25	7	4	3	11	8	7	6	2	1	0	0	1.91	3.8	3.8	1.95	3.7	3.75	1.9	3.45	3.8	1.91	3.75	3.75	1.95	3.87	4	1.95	3.5	3.8	1.95	3.8	4	49	2	1.93	3.91	3.72	4	3.81	40	1.7	1.65	2.3	2.21	29	-0.5	1.96	1.92	1.98	1.94	1.99	3.79	3.94
19	E0	30/12/15	Sunderland	Liverpool	0	-1	A	0	0	D	K Friend	8	17	3	6	8	16	6	4	1	3	0	0	5.5	3.9	1.7	5	3.75	1.72	4.5	3.5	1.75	5	3.6	1.67	5.51	3.91	1.71	4.75	3.6	1.75	5.5	3.75	1.73	48	5.6	5.22	4	3.74	1.75	1.7	43	2.07	1.99	1.92	1.81	28	0.5	2.32	2.25	1.74	1.68	5.77	4.09	1.66
20	E0	2/1/16	West Ham	Liverpool	2	0	H	1	0	H	R Madley	18	23	10	2	11	8	3	9	1	1	0	0	4	3.5	2.05	3.8	3.4	2.05	3.3	3.3	2.1	3.8	3.4	2	3.97	3.62	2.03	3.8	3.4	2	4.1	3.4	2.05	48	4.1	3.86	3.62	3.42	2.1	2.01	43	2.13	2.06	1.81	1.75	29	0.5	1.91	1.86	2.05	2	4.28	3.55	1.98
21	E0	13/01/16	Liverpool	Arsenal	3	-3	D	2	2	D	M Jones	22	14	6	5	9	7	9	3	2	0	0	0	2.88	3.4	2.6	2.9	3.25	2.6	2.75	3.3	2.4	2.75	3.3	2.5	2.84	3.58	2.57	2.9	3.2	2.5	2.88	3.5	2.55	48	2.95	2.83	3.58	3.37	2.6	2.51	43	1.96	1.87	2.05	1.93	28	-0.25	2.5	2.41	1.64	1.6	2.58	3.39	2.96
22	E0	17/01/16	Liverpool	Man United	0	-1	A	0	0	D	M Clattenburg	19	7	4	1	6	18	5	4	0	2	0	0	2.3	3.25	3.5	2.3	3.1	3.5	2.5	3.2	2.75	2.2	3.25	3.3	2.34	3.37	3.37	2.4	3.1	3.1	2.38	3.3	3.2	44	2.5	2.29	3.37	3.24	3.5	3.29	41	2.33	2.24	1.69	1.63	28	-0.25	2.01	1.94	1.95	1.92	2.63	3.12	3.13
23	E0	23/01/16	Norwich	Liverpool	4	-5	A	2	1	H	L Mason	6	13	5	7	10	14	3	3	0	1	0	0	4.33	3.5	1.95	4	3.5	1.95	3.6	3.3	2	3.8	3.4	1.95	4.35	3.5	1.98	4.33	3.25	1.91	4.2	3.5	2	46	4.35	4.08	3.6	3.42	2.05	1.96	40	2.22	2.12	1.8	1.71	28	0.5	1.96	1.9	2.05	1.98	4.28	3.52	1.99
24	E0	2/2/16	Leicester	Liverpool	2	0	H	0	0	D	A Marriner	13	14	6	2	6	7	3	12	0	1	0	0	2.63	3.4	2.88	2.6	3.2	2.8	2.6	3.2	2.6	2.5	3.3	2.7	2.62	3.44	2.88	2.62	3.1	2.8	2.63	3.3	2.9	48	2.65	2.58	3.51	3.28	2.9	2.81	43	2.15	2.06	1.83	1.76	30	0	1.9	1.85	2.06	2	2.92	3.31	2.67
25	E0	6/2/16	Liverpool	Sunderland	2	-2	D	0	0	D	R Madley	16	7	5	2	4	12	7	2	1	1	0	0	1.44	4.75	8.5	1.44	4.33	8	1.4	4.4	7.3	1.4	4.33	7.5	1.45	4.71	8.42	1.44	4.2	8	1.44	4.6	8.5	45	1.5	1.44	4.75	4.46	9	7.82	37	1.82	1.76	2.12	2.04	28	-1.5	2.38	2.28	1.68	1.66	1.43	4.86	8.6
26	E0	14/02/16	Aston Villa	Liverpool	0	-6	A	0	2	A	N Swarbrick	6	11	1	9	10	9	0	6	3	1	0	0	4.75	3.6	1.85	4.5	3.5	1.85	3.6	3.3	2	4.5	3.4	1.8	4.89	3.59	1.86	4.5	3.4	1.85	5	3.6	1.83	45	5.04	4.59	3.62	3.49	2	1.84	37	2.32	2.23	1.7	1.65	28	0.75	1.82	1.78	2.15	2.09	5.81	3.87	1.69
27	E0	2/3/16	Liverpool	Man City	3	0	H	2	0	H	M Atkinson	11	4	7	2	14	14	3	2	0	1	0	0	2.63	3.4	2.88	2.55	3.2	2.75	2.6	3.2	2.6	2.62	3.4	2.8	2.64	3.5	2.81	2.62	3.2	2.8	2.7	3.4	2.8	46	2.7	2.57	3.51	3.33	2.88	2.79	39	2	1.93	1.95	1.87	29	-0.25	2.27	2.2	1.75	1.71	2.79	3.53	2.64
28	E0	6/3/16	Crystal Palace	Liverpool	1	-2	A	0	0	D	A Marriner	14	19	4	5	12	16	6	6	1	2	0	1	3.8	3.5	2.1	3.5	3.2	2.1	3.3	3.3	2.1	3.5	3.3	2.05	3.71	3.5	2.15	3.75	3.1	2.15	3.75	3.4	2.15	45	3.8	3.63	3.5	3.39	2.19	2.1	37	2.12	2.07	1.81	1.74	29	0.25	2.12	2.06	1.86	1.81	3.78	3.51	2.13
29	E0	20/03/16	Southampton	Liverpool	3	-2	H	0	2	A	R East	16	18	5	9	10	13	3	5	1	3	0	0	2.63	3.4	2.88	2.4	3.3	2.85	2.6	3.2	2.6	2.5	3.1	2.8	2.71	3.29	2.88	2.75	3	2.75	2.7	3.25	2.9	45	2.75	2.61	3.4	3.21	2.9	2.81	38	2.35	2.22	1.7	1.65	27	0.25	1.64	1.6	2.47	2.4	2.94	3.3	2.65
30	E0	2/4/16	Liverpool	Tottenham	1	-1	D	0	0	D	J Moss	15	18	7	5	11	11	12	9	2	0	0	0	2.5	3.4	3	2.45	3.3	2.8	2.4	3.3	2.75	2.6	3.3	2.9	2.49	3.5	3.01	2.6	3	2.9	2.5	3.4	3	44	2.6	2.47	3.5	3.34	3.03	2.91	39	2.02	1.93	1.95	1.87	28	0	1.81	1.77	2.18	2.1	2.15	3.56	3.66
31	E0	10/4/16	Liverpool	Stoke	4	-1	H	2	1	H	M Clattenburg	14	10	6	3	14	14	6	3	0	2	0	0	1.55	4	5.75	1.57	3.75	6	1.65	3.6	5.1	1.57	3.8	5.75	1.61	4.28	6.11	1.6	3.75	6	1.62	4.1	6.25	45	1.65	1.59	4.28	3.99	6.25	5.8	37	2.05	1.89	1.99	1.9	29	-1	2.1	2.04	1.86	1.83	1.65	3.98	6.15
32	E0	17/04/16	Bournemouth	Liverpool	1	-2	A	0	2	A	M Jones	18	19	5	6	9	9	5	4	0	0	0	0	3.6	3.5	2.15	3.3	3.4	2.1	3.3	3.3	2.1	3.5	3.4	2.2	3.71	3.52	2.14	3.5	3.25	2.15	3.6	3.5	2.15	49	3.71	3.46	3.52	3.42	2.2	2.13	41	2.04	1.96	1.91	1.84	31	0.25	2.1	2.01	1.88	1.85	2.69	3.48	2.77
33	E0	20/04/16	Liverpool	Everton	4	0	H	2	0	H	R Madley	37	3	13	0	8	11	9	1	1	1	0	1	1.73	4	5	1.7	3.75	4.75	1.75	3.5	4.5	1.67	3.8	4.75	1.7	4.13	5.22	1.7	3.6	5	1.7	4.1	5.25	44	1.75	1.69	4.3	4	5.25	4.85	34	1.77	1.72	2.21	2.12	28	-0.75	1.91	1.86	2.06	2	1.7	4.07	5.31
34	E0	23/04/16	Liverpool	Newcastle	2	-2	D	2	0	H	A Marriner	13	6	4	3	8	17	5	4	1	1	0	0	1.57	4.5	6	1.57	4.2	5.25	1.5	4	6.1	1.57	4.33	6	1.57	4.58	6.05	1.6	4	5.5	1.53	4.6	6.5	47	1.62	1.55	4.6	4.27	6.5	5.8	34	1.64	1.6	2.5	2.3	30	-1	1.98	1.91	2.02	1.95	1.52	4.67	6.69
35	E0	1/5/16	Swansea	Liverpool	3	-1	H	2	0	H	R East	18	11	9	3	12	13	4	7	2	2	0	1	3.1	3.5	2.4	3.1	3.4	2.3	3.1	3.3	2.2	3	3.4	2.3	3.15	3.56	2.37	3.1	3.1	2.4	3.13	3.5	2.38	46	3.15	3.05	3.56	3.39	2.5	2.34	39	1.98	1.91	1.95	1.89	29	0.25	1.89	1.85	2.07	2.01	3.57	3.63	2.15
36	E0	8/5/16	Liverpool	Watford	2	0	H	1	0	H	L Mason	19	14	5	3	10	15	8	8	1	2	0	0	1.5	4.5	7.5	1.44	4.4	6.75	1.4	4.4	7.3	1.53	4.5	6.5	1.54	4.65	6.48	1.5	4	7	1.5	4.5	7	48	1.54	1.49	4.65	4.42	7.5	6.55	36	1.65	1.61	2.45	2.29	30	-1.25	2.13	2.07	1.84	1.8	1.55	4.48	6.55
37	E0	11/5/16	Liverpool	Chelsea	1	-1	D	0	1	A	M Oliver	28	13	9	7	11	12	7	3	3	1	0	0	2	3.8	3.8	1.95	3.5	3.7	1.9	3.45	3.8	1.91	3.6	3.6	2.02	3.86	3.76	1.95	3.5	3.75	2	3.8	3.8	48	2.05	1.97	3.9	3.69	3.9	3.71	39	1.69	1.64	2.35	2.24	28	-0.5	2.01	1.97	1.94	1.89	1.71	4.36	4.81
38	E0	15/05/16	West Brom	Liverpool	1	-1	D	1	1	D	R Madley	13	7	1	3	11	14	7	5	3	1	0	0	2.4	3.6	3	2.35	3.5	2.75	2.5	3.4	2.6	2.4	3.6	2.9	2.42	3.7	2.97	2.4	3.1	3.1	2.38	3.6	3	50	2.5	2.38	3.7	3.49	3.1	2.91	39	1.79	1.72	2.19	2.09	30	-0.25	2.1	2.05	1.86	1.81	2.61	3.75	2.7
