week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	10/8/15	West Brom	Man City	0	-3	A	0	2	A	M Dean	9	19	2	7	12	9	6	6	4	1	0	0	5.75	4	1.67	4.75	4	1.65	5.1	3.6	1.65	5.5	3.75	1.67	5.75	3.98	1.68	5.5	3.5	1.7	5.5	4	1.7	41	6.5	5.46	4.1	3.85	1.72	1.66	40	1.84	1.77	2.15	2.04	26	1	1.78	1.74	2.24	2.14	6.46	4.08	1.61
2	E0	16/08/15	Man City	Chelsea	3	0	H	1	0	H	M Atkinson	18	10	8	3	19	13	5	1	4	2	0	0	2.1	3.5	3.75	2.1	3.4	3.7	2.1	3.3	3.3	2.1	3.4	3.75	2.08	3.56	3.87	2.15	3.2	3.6	2.1	3.5	3.9	43	2.17	2.09	3.56	3.4	3.9	3.66	42	2.05	1.98	1.88	1.82	28	-0.5	2.12	2.06	1.87	1.81	2.01	3.69	3.97
3	E0	23/08/15	Everton	Man City	0	-2	A	0	0	D	A Taylor	10	16	1	9	5	7	8	7	0	3	0	0	5	4	1.73	4.4	3.75	1.73	4.7	3.6	1.7	5	4	1.73	4.85	4.08	1.76	5	3.5	1.75	5	4	1.75	38	5	4.72	4.2	3.92	1.77	1.73	36	1.73	1.66	2.3	2.2	26	0.75	1.96	1.92	1.99	1.93	5.47	4.1	1.68
4	E0	29/08/15	Man City	Watford	2	0	H	0	0	D	M Clattenburg	18	7	5	0	9	12	9	3	1	2	0	0	1.2	8	15	1.2	7	10.5	1.2	5.8	13	1.22	7	13	1.19	8	17.75	1.22	6	13	1.2	8	15	40	1.25	1.19	8	7.15	17.75	14.45	39	1.4	1.37	3.15	2.98	26	-2	1.95	1.9	2	1.95	1.22	7.05	16.5
5	E0	12/9/15	Crystal Palace	Man City	0	-1	A	0	0	D	M Jones	10	21	2	7	13	13	4	4	2	3	0	0	5.5	4.2	1.67	5.25	3.9	1.67	5.4	3.7	1.6	5.25	4	1.67	5.75	4.16	1.65	5.5	3.8	1.62	5.5	4.2	1.65	36	6	5.44	4.25	4.05	1.67	1.62	30	1.67	1.63	2.35	2.27	25	1	1.82	1.78	2.16	2.09	4.95	3.89	1.78
6	E0	19/09/15	Man City	West Ham	1	-2	A	1	2	A	R Madley	27	6	8	3	10	7	16	3	1	2	0	0	1.29	6.5	11	1.28	6	10.5	1.25	5.5	10.3	1.25	6.5	12	1.27	6.45	12.78	1.29	5	12	1.25	6.5	13	40	1.29	1.26	6.57	6.08	13	11.33	34	1.461	1.44	2.88	2.71	25	-1.5	1.77	1.73	2.21	2.17	1.29	6.2	11.5
7	E0	26/09/15	Tottenham	Man City	4	-1	H	1	1	D	M Clattenburg	15	22	8	8	17	6	5	9	5	1	0	0	4.2	3.8	1.91	4	3.6	1.91	3.6	3.3	2	4.2	3.75	1.9	4.03	3.82	1.96	4	3.4	1.95	4	3.8	1.95	40	4.3	3.94	3.82	3.62	2	1.93	36	1.78	1.72	2.19	2.11	26	0.5	1.98	1.94	1.96	1.92	3.49	3.51	2.23
8	E0	3/10/15	Man City	Newcastle	6	-1	H	1	1	D	K Friend	23	6	11	4	13	8	6	3	3	1	0	0	1.25	7	13	1.25	6.25	11.5	1.25	5.5	10.3	1.25	6.5	13	1.24	6.9	13.8	1.25	6	13	1.22	7	15	43	1.26	1.23	7.25	6.59	15	12.3	39	1.47	1.41	3	2.85	27	-2	2.12	2.02	1.9	1.84	1.22	7.3	14.85
9	E0	17/10/15	Man City	Bournemouth	5	-1	H	4	1	H	M Dean	15	5	11	1	11	5	1	7	2	1	0	0	1.33	5.75	10	1.33	5.25	8	1.3	5	9	1.33	5.5	10	1.34	5.58	10.6	1.36	4.8	8.5	1.33	5.5	10.5	45	1.36	1.33	5.75	5.23	11	9.31	35	1.59	1.53	2.6	2.46	28	-1.5	2.02	1.96	1.94	1.89	1.34	5.38	10.93
10	E0	25/10/15	Man United	Man City	0	0	D	0	0	D	M Clattenburg	6	6	1	1	17	13	6	4	2	2	0	0	2.6	3.5	2.8	2.65	3.3	2.85	2.6	3.2	2.6	2.5	3.3	2.75	2.59	3.41	2.93	2.7	3.2	2.88	2.63	3.5	2.8	43	2.7	2.57	3.55	3.35	2.96	2.8	39	1.91	1.82	2.05	1.97	24	0	1.89	1.85	2.09	2	2.63	3.32	2.95
