week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Man United	Tottenham	1	0	H	1	0	H	J Moss	9	9	1	4	12	12	1	2	2	3	0	0	1.65	4	6	1.65	4	5.5	1.65	3.6	5.1	1.67	4	5.5	1.65	4.09	5.9	1.62	3.6	6	1.67	4	5.75	42	1.71	1.63	4.2	3.9	6.5	5.65	40	1.86	1.79	2.13	2.01	26	-1	2.2	2.09	1.82	1.78	1.64	4.07	6.04
2	E0	14/08/15	Aston Villa	Man United	0	-1	A	0	1	A	M Dean	5	9	1	2	14	10	3	5	2	2	0	0	5.5	3.8	1.73	5	3.75	1.75	5	3.6	1.67	5.5	3.6	1.73	5.66	3.83	1.72	5.5	3.6	1.75	5.5	3.8	1.75	42	6	5.37	4	3.67	1.76	1.71	40	2.19	2.11	1.79	1.71	26	0.75	2.01	1.95	1.96	1.91	5.06	3.76	1.8
3	E0	22/08/15	Man United	Newcastle	0	0	D	0	0	D	C Pawson	20	7	8	0	15	11	11	5	2	2	0	0	1.36	5.25	10	1.36	5	9.25	1.35	4.8	7.6	1.36	5	9.5	1.39	5.15	9.62	1.36	5	8	1.36	5	10.5	39	1.4	1.36	5.25	4.91	10.5	8.9	37	1.81	1.74	2.15	2.06	26	-1.25	1.91	1.87	2.04	1.99	1.34	5.44	11.12
4	E0	30/08/15	Swansea	Man United	2	-1	H	0	0	D	M Atkinson	9	11	4	4	6	15	0	1	2	2	0	0	3.6	3.3	2.25	3.2	3.2	2.25	3.2	3.2	2.2	3.4	3.3	2.25	3.55	3.45	2.23	3.5	3	2.25	3.6	3.4	2.2	40	3.7	3.42	3.5	3.31	2.27	2.19	38	2.2	2.08	1.83	1.74	25	0.25	2.03	1.98	1.93	1.88	3.82	3.41	2.15
5	E0	12/9/15	Man United	Liverpool	3	-1	H	0	0	D	M Oliver	9	8	3	4	6	11	4	4	1	2	0	0	2	3.4	4.33	2	3.2	4.33	1.85	3.45	4	2	3.4	4.2	1.94	3.49	4.56	1.95	3.4	4.5	1.95	3.5	4.33	37	2	1.93	3.55	3.41	4.59	4.27	31	2.22	2.13	1.77	1.7	24	-0.5	1.96	1.92	2	1.93	1.94	3.41	4.7
6	E0	20/09/15	Southampton	Man United	2	-3	A	1	1	D	M Clattenburg	15	10	8	3	6	13	5	5	2	0	0	0	3.1	3.3	2.5	3.2	3.2	2.4	3	3.2	2.3	3.1	3.2	2.5	3.22	3.3	2.46	3	3	2.5	3.2	3.2	2.5	40	3.25	3.06	3.32	3.19	2.5	2.44	33	2.36	2.28	1.67	1.62	24	0	2.26	2.17	1.76	1.72	3.45	3.28	2.35
7	E0	26/09/15	Man United	Sunderland	3	0	H	1	0	H	M Jones	12	9	7	4	12	17	5	2	0	3	0	0	1.2	7.5	16	1.22	6.5	13	1.2	5.8	13	1.22	6.5	13	1.23	6.9	16.7	1.22	6	13	1.22	7	15	41	1.24	1.21	7.5	6.57	16.7	13.85	33	1.61	1.56	2.55	2.38	25	-2	2.17	2.11	1.81	1.78	1.22	7.7	13.75
8	E0	4/10/15	Arsenal	Man United	3	0	H	3	0	H	A Taylor	12	9	5	5	8	17	3	6	1	3	0	0	2	3.8	3.8	2	3.5	3.75	2.1	3.3	3.3	2.05	3.4	3.8	2.06	3.67	3.81	1.95	3.6	3.75	2.05	3.7	3.8	44	2.1	2.01	3.8	3.59	3.9	3.69	38	1.9	1.83	2.08	1.97	25	-0.5	2.06	2	1.91	1.86	2.01	3.81	3.84
9	E0	17/10/15	Everton	Man United	0	-3	A	0	2	A	J Moss	12	10	3	7	12	14	5	3	2	2	0	0	3.25	3.4	2.38	3	3.3	2.4	2.9	3.3	2.3	3.25	3.25	2.38	3.23	3.4	2.4	3.2	3	2.4	3.2	3.3	2.45	45	3.3	3.15	3.44	3.29	2.45	2.35	41	2.11	2.02	1.85	1.78	25	0.25	1.88	1.85	2.07	2.01	3.29	3.48	2.33
10	E0	25/10/15	Man United	Man City	0	0	D	0	0	D	M Clattenburg	6	6	1	1	17	13	6	4	2	2	0	0	2.6	3.5	2.8	2.65	3.3	2.85	2.6	3.2	2.6	2.5	3.3	2.75	2.59	3.41	2.93	2.7	3.2	2.88	2.63	3.5	2.8	43	2.7	2.57	3.55	3.35	2.96	2.8	39	1.91	1.82	2.05	1.97	24	0	1.89	1.85	2.09	2	2.63	3.32	2.95
11	E0	31/10/15	Crystal Palace	Man United	0	0	D	0	0	D	M Jones	10	5	5	1	12	15	7	3	3	3	0	0	3.8	3.5	2.1	3.4	3.4	2.1	3.4	3.2	2.1	3.8	3.4	2.05	4.02	3.46	2.08	4	3	2.1	4	3.4	2.1	47	4.07	3.77	3.5	3.35	2.1	2.06	40	2.28	2.15	1.8	1.7	28	0.5	1.88	1.82	2.1	2.04	4.46	3.56	1.94
12	E0	7/11/15	Man United	West Brom	2	0	H	0	0	D	M Dean	13	4	3	0	11	10	5	1	1	3	0	1	1.33	5.25	12	1.33	5	8.75	1.35	4.8	7.6	1.36	4.5	11	1.34	5.25	12.05	1.36	4	12	1.33	5.25	11.5	43	1.36	1.33	5.3	4.91	12.05	10.69	38	2.01	1.93	1.95	1.87	25	-1.5	2.08	2.01	1.88	1.85	1.36	5.1	11.15
13	E0	21/11/15	Watford	Man United	1	-2	A	0	1	A	R Madley	10	13	5	6	6	12	4	10	1	2	0	0	4.33	3.4	2	3.9	3.4	2	3.8	3.45	1.9	4	3.4	2.05	4.14	3.38	2.07	4	3.1	2.05	4.33	3.25	2.05	42	4.6	4.07	3.45	3.29	2.07	2.01	36	2.46	2.34	1.69	1.59	24	0.75	1.67	1.63	2.44	2.34	4.02	3.38	2.1
14	E0	28/11/15	Leicester	Man United	1	-1	D	1	1	D	C Pawson	7	10	3	2	5	7	1	8	0	1	0	0	3.1	3.5	2.4	2.95	3.4	2.4	2.9	3.3	2.3	3	3.4	2.38	3.26	3.45	2.36	3.1	3.1	2.4	3.3	3.4	2.38	47	3.3	3.13	3.53	3.35	2.4	2.34	41	2.11	2.02	1.87	1.78	27	0.25	1.92	1.88	2.03	1.99	3.26	3.49	2.34
15	E0	5/12/15	Man United	West Ham	0	0	D	0	0	D	M Clattenburg	21	9	1	2	9	13	6	2	1	0	0	0	1.44	4.5	9	1.44	4.33	8	1.4	4.4	7.3	1.4	4.33	8.5	1.43	4.7	9.06	1.44	3.8	9	1.44	4.5	9	47	1.46	1.43	4.8	4.38	9.23	8.4	42	2.06	1.97	1.91	1.83	28	-1	1.75	1.7	2.26	2.2	1.46	4.68	8.18
16	E0	12/12/15	Bournemouth	Man United	2	-1	H	1	1	D	A Taylor	11	11	5	5	12	12	5	7	2	1	0	0	3.4	3.4	2.3	3.2	3.3	2.3	3	3.2	2.3	3.3	3.4	2.3	3.46	3.39	2.29	3.2	3.2	2.3	3.5	3.3	2.3	50	3.5	3.33	3.4	3.28	2.3	2.26	44	2.23	2.14	1.76	1.69	27	0.25	1.99	1.94	1.97	1.92	3.3	3.27	2.43
17	E0	19/12/15	Man United	Norwich	1	-2	A	0	1	A	M Oliver	11	6	2	4	4	10	11	0	0	2	0	0	1.45	4.5	8.5	1.45	4.5	7.75	1.5	4	6.1	1.44	4.2	7.5	1.47	4.5	8.45	1.44	4.2	8	1.45	4.6	8.5	49	1.5	1.45	4.61	4.35	8.83	7.74	45	2	1.9	1.98	1.89	29	-1	1.8	1.75	2.2	2.13	1.43	4.85	8.75
18	E0	26/12/15	Stoke	Man United	2	0	H	2	0	H	K Friend	13	11	3	6	13	16	1	12	1	2	0	0	3.25	3.2	2.3	3.1	3.25	2.4	2.75	3.3	2.4	3.2	3.1	2.3	3.33	3.31	2.4	3.1	3.1	2.4	3.4	3.2	2.4	49	3.4	3.21	3.31	3.17	2.4	2.36	42	2.48	2.37	1.61	1.57	29	0.25	1.89	1.86	2.07	2.01	3.79	3.25	2.23
19	E0	28/12/15	Man United	Chelsea	0	0	D	0	0	D	M Atkinson	12	8	2	3	16	6	5	3	4	2	0	0	2.6	3.3	3	2.6	3.25	2.9	2.6	3.2	2.6	2.5	3.1	2.8	2.6	3.38	2.95	2.62	3.1	3	2.6	3.25	3	50	2.65	2.55	3.38	3.22	3.03	2.91	43	2.3	2.19	1.72	1.66	28	0	1.85	1.81	2.12	2.05	2.48	3.26	3.22
20	E0	2/1/16	Man United	Swansea	2	-1	H	0	0	D	J Moss	19	9	6	4	14	10	4	2	2	1	0	0	1.55	4.2	7	1.55	3.8	7	1.5	4	6.1	1.53	3.8	7	1.52	4.28	7.66	1.57	3.6	7	1.55	4.1	7.5	48	1.57	1.53	4.27	4	7.55	6.89	43	2.31	2.2	1.75	1.66	30	-1	1.98	1.93	2	1.92	1.49	4.3	8.55
21	E0	12/1/16	Newcastle	Man United	3	-3	D	1	2	A	M Dean	14	12	6	4	10	12	5	3	1	3	0	0	5	3.7	1.8	5	3.6	1.75	4.2	3.5	1.8	5	3.5	1.8	5.05	3.8	1.79	5	3.3	1.8	5	3.7	1.8	48	5.25	4.87	3.83	3.62	1.8	1.78	42	2.2	2.12	1.79	1.72	28	1	1.62	1.59	2.53	2.44	4.88	3.64	1.85
22	E0	17/01/16	Liverpool	Man United	0	-1	A	0	0	D	M Clattenburg	19	7	4	1	6	18	5	4	0	2	0	0	2.3	3.25	3.5	2.3	3.1	3.5	2.5	3.2	2.75	2.2	3.25	3.3	2.34	3.37	3.37	2.4	3.1	3.1	2.38	3.3	3.2	44	2.5	2.29	3.37	3.24	3.5	3.29	41	2.33	2.24	1.69	1.63	28	-0.25	2.01	1.94	1.95	1.92	2.63	3.12	3.13
23	E0	23/01/16	Man United	Southampton	0	-1	A	0	0	D	M Jones	8	7	1	2	11	8	4	4	0	0	0	0	1.91	3.5	4.75	1.9	3.4	4.4	1.8	3.5	4.2	1.85	3.3	4.5	1.91	3.45	4.84	1.91	3.2	4.5	1.9	3.4	4.8	46	1.95	1.88	3.54	3.37	4.84	4.55	39	2.48	2.36	1.62	1.58	27	-0.5	1.95	1.9	2.02	1.94	2.09	3.3	4.2
24	E0	2/2/16	Man United	Stoke	3	0	H	2	0	H	R East	15	10	5	0	13	13	2	5	2	1	0	0	1.7	3.75	5.75	1.67	3.7	5.5	1.75	3.5	4.5	1.65	3.6	5.75	1.68	3.82	6.17	1.67	3.5	6	1.7	3.6	6.25	49	1.75	1.67	3.83	3.67	6.26	5.73	42	2.34	2.25	1.67	1.63	32	-1	2.3	2.22	1.74	1.69	1.62	3.92	6.75
25	E0	7/2/16	Chelsea	Man United	1	-1	D	0	0	D	M Oliver	16	17	5	7	6	9	10	11	0	3	0	0	2.15	3.3	3.9	2.1	3.2	3.9	2.2	3.3	3.1	2.05	3.2	3.8	2.1	3.37	4.04	2.1	3.1	3.8	2.15	3.25	4	45	2.2	2.09	3.4	3.26	4.2	3.83	37	2.49	2.34	1.64	1.58	26	-0.5	2.12	2.08	1.85	1.8	2.14	3.35	3.94
26	E0	13/02/16	Sunderland	Man United	2	-1	H	1	1	D	A Marriner	21	12	5	6	7	15	6	8	2	3	0	0	5.25	3.75	1.75	4.75	3.5	1.8	4.5	3.5	1.75	4.75	3.5	1.75	5.1	3.74	1.79	5	3.3	1.8	5.5	3.7	1.75	45	5.5	5	3.78	3.6	1.83	1.76	38	2.25	2.15	1.75	1.69	29	1	1.65	1.6	2.52	2.4	5.27	3.69	1.79
27	E0	28/02/16	Man United	Arsenal	3	-2	H	2	1	H	C Pawson	7	13	5	5	21	15	2	3	4	3	0	0	3	3.25	2.38	2.95	3.2	2.5	2.7	3.1	2.6	2.9	3.1	2.4	3.32	3.32	2.39	3.3	3.2	2.25	3.4	3.25	2.38	44	3.4	3.17	3.32	3.21	2.6	2.37	37	2.42	2.27	1.67	1.62	27	0.25	1.9	1.86	2.05	2	3.46	3.4	2.29
28	E0	2/3/16	Man United	Watford	1	0	H	0	0	D	M Jones	14	13	3	3	7	17	9	7	1	2	0	0	1.67	3.8	6	1.65	3.5	5.5	1.65	3.6	5.1	1.67	3.75	6	1.66	3.92	6.21	1.67	3.4	6	1.67	3.9	6	47	1.69	1.65	4	3.71	6.5	5.87	39	2.22	2.12	1.77	1.71	31	-1	2.23	2.17	1.76	1.72	1.64	3.99	6.3
29	E0	6/3/16	West Brom	Man United	1	0	H	0	0	D	M Dean	9	7	2	1	8	7	4	5	1	0	0	1	4.33	3.4	2	4.2	3.25	1.91	3.8	3.45	1.9	4	3.25	1.95	4.24	3.42	2.03	4	3.2	2	4.33	3.3	2.05	45	4.33	4.1	3.5	3.32	2.06	1.99	36	2.36	2.29	1.65	1.61	28	0.75	1.68	1.65	2.4	2.31	4.45	3.61	1.93
30	E0	20/03/16	Man City	Man United	0	-1	A	0	1	A	M Oliver	26	5	2	3	9	12	11	5	1	1	0	0	1.83	3.75	4.75	1.83	3.6	4	1.8	3.5	4.2	1.8	3.6	4.5	1.86	3.75	4.61	1.85	3.4	4.5	1.85	3.75	4.6	46	1.87	1.83	3.8	3.62	4.75	4.42	39	2	1.93	1.94	1.86	28	-0.5	1.87	1.83	2.12	2.04	2.01	3.61	4.09
31	E0	3/4/16	Man United	Everton	1	0	H	0	0	D	A Marriner	10	7	2	1	15	6	5	5	2	0	0	0	2.1	3.5	3.75	2	3.4	3.6	1.9	3.45	3.8	2.1	3.4	3.8	2.11	3.47	3.89	2.1	3.1	3.8	2.1	3.4	3.9	46	2.13	2.06	3.51	3.38	4	3.76	38	2.13	2.05	1.83	1.76	29	-0.5	2.11	2.05	1.87	1.83	1.97	3.65	4.19
32	E0	10/4/16	Tottenham	Man United	3	0	H	0	0	D	M Dean	16	5	8	1	10	10	2	7	3	3	0	0	1.91	3.5	4	1.91	3.3	4.1	2.1	3.3	3.3	1.91	3.4	4	1.92	3.65	4.44	1.95	3.5	3.8	1.93	3.6	4.2	46	2.1	1.91	3.65	3.5	4.44	4.13	37	2.17	2.1	1.8	1.72	28	-0.5	1.95	1.89	2.02	1.97	2	3.54	4.2
33	E0	16/04/16	Man United	Aston Villa	1	0	H	1	0	H	K Friend	13	7	4	1	9	10	14	3	0	1	0	0	1.22	7	17	1.2	6	15	1.2	5.8	13	1.22	6	17	1.26	6.35	14.88	1.25	5.5	13	1.22	6.5	17	49	1.26	1.23	7	6.04	17	14.93	39	1.83	1.75	2.16	2.06	31	-1.75	2.03	1.96	1.95	1.9	1.25	6.4	15
34	E0	20/04/16	Man United	Crystal Palace	2	0	H	1	0	H	L Mason	16	5	10	0	13	7	10	2	1	2	0	0	1.53	4.33	7	1.53	4	6	1.55	4	5.5	1.53	4	6.5	1.54	4.25	7.45	1.53	3.8	7	1.55	4.2	7	44	1.57	1.53	4.33	4.09	7.45	6.68	35	2.08	1.97	1.88	1.83	29	-1	1.95	1.91	2.01	1.95	1.46	4.65	8.25
