week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Leicester	Sunderland	4	-2	H	3	0	H	L Mason	19	10	8	5	13	17	6	3	2	4	0	0	1.95	3.5	4.33	2	3.3	3.75	2	3.3	3.6	2	3.4	4.2	1.99	3.48	4.34	2	3.1	2.7	2	3.4	4.33	45	2.03	1.96	3.5	3.37	4.52	4.06	43	2.27	2.18	1.73	1.67	26	-0.5	2	1.95	1.96	1.9	1.79	3.74	5.1
2	E0	15/08/15	Sunderland	Norwich	1	-3	A	0	2	A	K Friend	6	19	2	6	7	7	6	6	1	2	0	0	2.5	3.3	3.1	2.5	3.1	3.2	2.3	3.3	2.9	2.4	3.3	3.1	2.52	3.35	3.08	2.5	3	3	2.55	3.2	3.13	45	2.6	2.47	3.4	3.2	3.2	3.01	43	2.37	2.26	1.69	1.63	27	0	1.8	1.75	2.18	2.12	2.86	3.39	2.66
3	E0	22/08/15	Sunderland	Swansea	1	-1	D	0	1	A	N Swarbrick	10	20	2	9	16	9	3	4	4	2	0	0	4	3.4	2.1	3.5	3.25	2.1	3.3	3.3	2.1	4	3.25	2.1	3.79	3.45	2.14	3.75	3.2	2.1	4	3.3	2.1	40	4.1	3.74	3.6	3.33	2.14	2.07	39	2.25	2.18	1.74	1.67	26	0.5	1.84	1.8	2.14	2.06	3.91	3.55	2.07
4	E0	29/08/15	Aston Villa	Sunderland	2	-2	D	2	1	H	R Madley	21	7	6	3	10	14	5	4	2	1	0	0	1.91	3.5	4.75	1.91	3.6	4.4	1.9	3.45	3.8	1.95	3.5	4.2	1.93	3.51	4.62	1.91	3.2	4.5	1.95	3.4	4.6	40	1.95	1.89	3.7	3.42	4.75	4.38	38	2.34	2.22	1.7	1.64	26	-0.5	1.95	1.89	2.02	1.96	2.12	3.31	4.07
5	E0	13/09/15	Sunderland	Tottenham	0	-1	A	0	0	D	C Pawson	12	15	2	4	11	12	6	8	2	1	0	0	4.33	3.6	1.95	3.75	3.4	1.95	3.6	3.3	2	4	3.6	1.95	4.32	3.65	1.94	4.2	3.25	1.95	4.4	3.6	1.93	37	4.41	4.14	3.65	3.49	2	1.92	33	2.01	1.95	1.92	1.85	24	0.5	2.01	1.95	1.94	1.9	4.26	3.69	1.94
6	E0	19/09/15	Bournemouth	Sunderland	2	0	H	2	0	H	K Friend	15	9	5	2	14	15	7	3	2	4	0	1	1.7	4	5.5	1.72	3.7	4.6	1.75	3.5	4.5	1.73	3.75	5.25	1.71	3.99	5.35	1.73	3.6	5	1.7	3.9	5.5	40	1.75	1.7	4	3.79	5.5	5.14	36	1.93	1.87	2.03	1.93	24	-0.75	1.95	1.9	2.01	1.96	1.57	4.75	5.75
7	E0	26/09/15	Man United	Sunderland	3	0	H	1	0	H	M Jones	12	9	7	4	12	17	5	2	0	3	0	0	1.2	7.5	16	1.22	6.5	13	1.2	5.8	13	1.22	6.5	13	1.23	6.9	16.7	1.22	6	13	1.22	7	15	41	1.24	1.21	7.5	6.57	16.7	13.85	33	1.61	1.56	2.55	2.38	25	-2	2.17	2.11	1.81	1.78	1.22	7.7	13.75
8	E0	3/10/15	Sunderland	West Ham	2	-2	D	2	1	H	N Swarbrick	12	20	3	6	14	11	1	8	2	4	1	0	3.2	3.4	2.4	3.1	3.2	2.3	2.9	3.3	2.3	3.1	3.4	2.4	3.13	3.46	2.43	2.9	3.4	2.38	3.13	3.5	2.4	43	3.2	3.05	3.5	3.34	2.45	2.37	38	2	1.94	1.92	1.86	24	0.25	1.86	1.83	2.1	2.03	3.03	3.55	2.45
9	E0	17/10/15	West Brom	Sunderland	1	0	H	0	0	D	M Atkinson	8	9	1	2	12	13	1	5	2	2	0	0	2.05	3.4	4.2	2.05	3.25	3.6	1.85	3.45	4	2.05	3.25	4.2	2.08	3.42	4.07	2.1	3	4	2.05	3.3	4.2	46	2.1	2.03	3.45	3.28	4.2	3.95	40	2.35	2.27	1.68	1.62	27	-0.5	2.09	2.03	1.86	1.83	2.15	3.35	3.91
10	E0	25/10/15	Sunderland	Newcastle	3	0	H	1	0	H	R Madley	9	21	3	8	12	10	1	10	0	2	0	1	2.6	3.4	2.9	2.55	3.3	2.65	2.3	3.3	2.9	2.62	3.3	2.88	2.57	3.41	2.96	2.62	3.1	3	2.63	3.3	2.9	43	2.63	2.53	3.45	3.31	3	2.86	39	2.04	1.95	1.91	1.85	24	0	1.87	1.81	2.11	2.05	2.63	3.38	2.91
