week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Chelsea	Swansea	2	-2	D	2	1	H	M Oliver	11	18	3	10	15	16	4	8	1	3	1	0	1.36	5	11	1.4	4.75	9	1.33	4.8	8.3	1.4	4.5	10	1.39	4.92	10.39	1.4	4	10	1.4	5	9.5	45	1.43	1.37	5	4.66	11.26	9.57	43	1.88	1.8	2.07	1.99	27	-1.5	2.24	2.16	1.8	1.73	1.37	5.04	10.88
2	E0	15/08/15	Swansea	Newcastle	2	0	H	1	0	H	M Jones	19	4	6	2	11	8	4	4	2	1	0	1	1.95	3.6	4.33	1.95	3.5	3.7	1.9	3.45	3.8	1.95	3.5	4.2	1.94	3.66	4.3	1.95	3.2	4.33	1.95	3.6	4.33	45	2.01	1.92	3.7	3.51	4.33	4.11	44	2.01	1.94	1.96	1.86	28	-0.5	1.95	1.91	2	1.94	1.85	3.86	4.49
3	E0	22/08/15	Sunderland	Swansea	1	-1	D	0	1	A	N Swarbrick	10	20	2	9	16	9	3	4	4	2	0	0	4	3.4	2.1	3.5	3.25	2.1	3.3	3.3	2.1	4	3.25	2.1	3.79	3.45	2.14	3.75	3.2	2.1	4	3.3	2.1	40	4.1	3.74	3.6	3.33	2.14	2.07	39	2.25	2.18	1.74	1.67	26	0.5	1.84	1.8	2.14	2.06	3.91	3.55	2.07
4	E0	30/08/15	Swansea	Man United	2	-1	H	0	0	D	M Atkinson	9	11	4	4	6	15	0	1	2	2	0	0	3.6	3.3	2.25	3.2	3.2	2.25	3.2	3.2	2.2	3.4	3.3	2.25	3.55	3.45	2.23	3.5	3	2.25	3.6	3.4	2.2	40	3.7	3.42	3.5	3.31	2.27	2.19	38	2.2	2.08	1.83	1.74	25	0.25	2.03	1.98	1.93	1.88	3.82	3.41	2.15
5	E0	12/9/15	Watford	Swansea	1	0	H	0	0	D	R Madley	17	8	6	3	11	14	1	3	1	1	1	0	2.75	3.4	2.75	2.7	3.2	2.7	2.6	3.2	2.6	2.75	3.25	2.75	2.75	3.34	2.8	2.75	3	2.75	2.7	3.3	2.88	36	2.77	2.68	3.4	3.23	2.9	2.74	31	2.24	2.13	1.76	1.7	24	0	1.95	1.89	2.01	1.95	2.62	3.39	2.92
6	E0	19/09/15	Swansea	Everton	0	0	D	0	0	D	S Attwell	12	17	3	2	12	11	2	4	2	2	0	1	2.3	3.4	3.4	2.3	3.2	3.1	2.3	3.2	3	2.25	3.4	3.4	2.3	3.44	3.4	2.3	3.2	3.2	2.25	3.4	3.4	40	2.34	2.26	3.47	3.33	3.41	3.27	35	2.08	2.03	1.87	1.78	24	-0.25	1.98	1.93	1.97	1.92	2.21	3.45	3.61
7	E0	26/09/15	Southampton	Swansea	3	-1	H	1	0	H	R East	18	11	7	4	18	14	4	3	3	1	0	0	2.05	3.4	4.2	2.05	3.25	3.6	2.2	3.2	3.2	2.05	3.4	3.8	2.04	3.51	4.07	2.05	3.1	4	2.1	3.3	4.1	41	2.2	2.03	3.51	3.37	4.2	3.86	36	2.25	2.16	1.79	1.68	26	-0.5	2.05	2	1.92	1.86	1.85	3.71	4.79
8	E0	4/10/15	Swansea	Tottenham	2	-2	D	2	1	H	M Dean	11	19	2	11	8	19	5	6	1	4	0	0	2.75	3.25	2.8	2.65	3.2	2.65	2.6	3.2	2.6	2.7	3.2	2.75	2.72	3.33	2.84	2.62	3.25	2.7	2.7	3.4	2.8	44	2.88	2.66	3.4	3.28	2.85	2.7	38	2.1	1.98	1.88	1.81	26	0	1.95	1.9	2.01	1.94	2.68	3.46	2.79
9	E0	19/10/15	Swansea	Stoke	0	-1	A	0	1	A	R Madley	14	9	2	2	6	14	1	2	2	2	0	0	2.05	3.4	4.2	2.05	3.2	3.75	2	3.3	3.6	2.05	3.4	4	2.08	3.41	4.06	2.05	3.1	4	2.05	3.4	4.1	44	2.1	2.03	3.5	3.33	4.2	3.88	40	2.28	2.17	1.72	1.67	25	-0.5	2.08	2.01	1.89	1.85	1.88	3.66	4.62
10	E0	24/10/15	Aston Villa	Swansea	1	-2	A	0	0	D	N Swarbrick	9	11	3	4	10	8	4	6	2	3	0	0	3	3.3	2.6	2.7	3.2	2.6	2.75	3.2	2.5	2.9	3.1	2.62	3.09	3.22	2.59	3	2.9	2.62	3	3.25	2.63	43	3.11	2.94	3.3	3.15	2.65	2.56	37	2.49	2.34	1.65	1.59	24	0	2.15	2.06	1.85	1.8	3.01	3.25	2.63
