week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	8/8/15	Everton	Watford	2	-2	D	0	1	A	M Jones	10	11	5	5	7	13	8	2	1	2	0	0	1.7	3.9	5.5	1.7	3.5	5	1.7	3.6	4.7	1.75	3.8	5	1.7	3.95	5.62	1.73	3.5	5	1.73	3.9	5.4	45	1.75	1.69	4	3.76	5.77	5.25	44	1.93	1.84	2.03	1.96	26	-1	2.28	2.18	1.76	1.71	1.75	3.76	5.44
2	E0	15/08/15	Watford	West Brom	0	0	D	0	0	D	P Tierney	16	6	5	0	13	10	2	4	1	2	0	0	2.3	3.4	3.4	2.3	3.2	3.1	2.4	3.2	2.85	2.3	3.4	3.2	2.25	3.41	3.54	2.3	3.2	3.2	2.3	3.3	3.5	45	2.4	2.25	3.51	3.3	3.54	3.33	43	2.22	2.12	1.78	1.71	27	-0.25	1.96	1.91	2.01	1.94	2.09	3.62	3.76
3	E0	23/08/15	Watford	Southampton	0	0	D	0	0	D	A Marriner	13	14	0	5	10	11	5	2	0	2	0	0	2.8	3.3	2.75	2.65	3.25	2.6	2.6	3.2	2.6	2.75	3.3	2.7	2.76	3.36	2.78	2.7	3.1	2.7	2.8	3.3	2.75	41	2.8	2.7	3.5	3.25	2.8	2.7	39	2.2	2.13	1.78	1.7	27	0	1.96	1.91	1.99	1.93	2.76	3.34	2.79
4	E0	29/08/15	Man City	Watford	2	0	H	0	0	D	M Clattenburg	18	7	5	0	9	12	9	3	1	2	0	0	1.2	8	15	1.2	7	10.5	1.2	5.8	13	1.22	7	13	1.19	8	17.75	1.22	6	13	1.2	8	15	40	1.25	1.19	8	7.15	17.75	14.45	39	1.4	1.37	3.15	2.98	26	-2	1.95	1.9	2	1.95	1.22	7.05	16.5
5	E0	12/9/15	Watford	Swansea	1	0	H	0	0	D	R Madley	17	8	6	3	11	14	1	3	1	1	1	0	2.75	3.4	2.75	2.7	3.2	2.7	2.6	3.2	2.6	2.75	3.25	2.75	2.75	3.34	2.8	2.75	3	2.75	2.7	3.3	2.88	36	2.77	2.68	3.4	3.23	2.9	2.74	31	2.24	2.13	1.76	1.7	24	0	1.95	1.89	2.01	1.95	2.62	3.39	2.92
6	E0	19/09/15	Newcastle	Watford	1	-2	A	0	2	A	R East	15	13	5	4	8	12	5	5	1	2	0	0	2.5	3.3	3.1	2.5	3.2	2.8	2.4	3.3	2.75	2.45	3.4	3.1	2.54	3.36	3.04	2.5	3.2	2.9	2.5	3.3	3.13	40	2.55	2.47	3.48	3.25	3.13	2.97	35	2.25	2.17	1.74	1.68	25	0	1.81	1.76	2.2	2.11	2.16	3.47	3.73
7	E0	27/09/15	Watford	Crystal Palace	0	-1	A	0	0	D	A Taylor	15	16	2	3	17	22	6	4	4	4	0	0	2.5	3.3	3.1	2.5	3.2	2.8	2.5	3.2	2.75	2.5	3.3	2.9	2.49	3.36	3.12	2.5	3.1	3	2.7	3.13	3	41	2.7	2.48	3.4	3.25	3.12	2.96	36	2.2	2.13	1.76	1.71	25	0	1.78	1.75	2.21	2.13	2.61	3.38	2.93
8	E0	3/10/15	Bournemouth	Watford	1	-1	D	1	1	D	M Oliver	12	11	6	2	8	13	5	3	1	1	0	0	2.1	3.5	3.8	2.1	3.25	3.5	2.1	3.3	3.3	2.15	3.4	3.6	2.13	3.54	3.72	2.15	3	3.75	2.1	3.5	3.8	44	2.15	2.1	3.6	3.39	3.8	3.62	40	2.07	2	1.91	1.8	27	-0.5	2.13	2.08	1.85	1.79	2.21	3.34	3.72
9	E0	17/10/15	Watford	Arsenal	0	-3	A	0	0	D	M Jones	8	17	1	6	11	12	3	9	2	1	0	0	6	4.2	1.62	5	4.1	1.6	5	3.9	1.6	6	4	1.62	6.29	4.31	1.59	6	3.6	1.62	6.25	4.2	1.6	46	6.5	5.76	4.33	4.06	1.62	1.59	41	1.79	1.72	2.23	2.1	28	1	1.91	1.86	2.06	2	6.75	4.54	1.53
10	E0	24/10/15	Stoke	Watford	0	-2	A	0	1	A	M Atkinson	12	13	1	3	10	18	11	5	3	1	0	0	2.1	3.3	4	2.1	3.25	3.5	2	3.3	3.6	2.1	3.2	4	2.1	3.38	4.03	2.15	3.1	3.6	2.1	3.3	4.1	43	2.2	2.09	3.4	3.26	4.1	3.79	37	2.4	2.31	1.67	1.61	23	-0.5	2.11	2.06	1.85	1.81	2.1	3.49	3.89
11	E0	31/10/15	Watford	West Ham	2	0	H	1	0	H	K Stroud	20	8	5	3	16	12	7	2	3	0	0	1	2.6	3.4	2.9	2.6	3.2	2.7	2.6	3.2	2.6	2.5	3.4	2.9	2.6	3.38	2.94	2.62	3.1	2.8	2.55	3.3	3	46	2.7	2.52	3.45	3.28	3	2.87	41	2.12	2.01	1.85	1.79	28	0	1.84	1.8	2.14	2.06	2.5	3.42	3.05
12	E0	7/11/15	Leicester	Watford	2	-1	H	0	0	D	R East	12	8	6	4	10	10	4	2	0	1	0	0	1.85	3.8	4.5	1.85	3.6	4	1.85	3.45	4	1.85	3.75	4.33	1.88	3.79	4.43	1.83	3.2	4.33	1.85	3.8	4.5	43	1.88	1.84	3.9	3.67	4.6	4.3	37	1.87	1.8	2.07	2	24	-0.5	1.88	1.83	2.09	2.03	1.93	3.71	4.34
