week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
1	E0	10/8/15	West Brom	Man City	0	-3	A	0	2	A	M Dean	9	19	2	7	12	9	6	6	4	1	0	0	5.75	4	1.67	4.75	4	1.65	5.1	3.6	1.65	5.5	3.75	1.67	5.75	3.98	1.68	5.5	3.5	1.7	5.5	4	1.7	41	6.5	5.46	4.1	3.85	1.72	1.66	40	1.84	1.77	2.15	2.04	26	1	1.78	1.74	2.24	2.14	6.46	4.08	1.61
2	E0	15/08/15	Watford	West Brom	0	0	D	0	0	D	P Tierney	16	6	5	0	13	10	2	4	1	2	0	0	2.3	3.4	3.4	2.3	3.2	3.1	2.4	3.2	2.85	2.3	3.4	3.2	2.25	3.41	3.54	2.3	3.2	3.2	2.3	3.3	3.5	45	2.4	2.25	3.51	3.3	3.54	3.33	43	2.22	2.12	1.78	1.71	27	-0.25	1.96	1.91	2.01	1.94	2.09	3.62	3.76
3	E0	23/08/15	West Brom	Chelsea	2	-3	A	1	3	A	M Clattenburg	15	15	6	5	9	12	8	7	2	1	0	1	6.5	4	1.62	5.25	3.8	1.62	5.1	3.6	1.65	6	3.75	1.67	6.25	3.93	1.65	6	3.4	1.67	6.25	3.9	1.65	40	6.5	5.93	4.2	3.79	1.67	1.62	39	2.15	2.07	1.8	1.74	26	0.75	2.11	2.04	1.87	1.82	7.25	4.12	1.56
4	E0	29/08/15	Stoke	West Brom	0	-1	A	0	1	A	M Oliver	13	15	5	5	4	9	6	5	1	4	2	0	1.95	3.4	4.5	1.95	3.3	4	2	3.3	3.6	2	3.4	4	1.95	3.5	4.5	1.95	3.25	4.2	1.93	3.5	4.6	40	2	1.93	3.5	3.39	4.6	4.22	38	2.31	2.23	1.71	1.64	26	-0.5	1.96	1.92	1.99	1.93	2.16	3.27	3.98
5	E0	12/9/15	West Brom	Southampton	0	0	D	0	0	D	S Attwell	8	14	1	4	5	5	4	5	1	0	0	0	3.2	3.2	2.5	2.8	3.2	2.5	2.65	3.3	2.5	3.2	3.1	2.5	3.21	3.26	2.49	3.1	3	2.5	3.3	3.2	2.45	36	3.24	3.09	3.3	3.16	2.5	2.45	30	2.49	2.35	1.65	1.58	23	0.25	1.85	1.81	2.12	2.06	3.25	3.38	2.4
6	E0	19/09/15	Aston Villa	West Brom	0	-1	A	0	1	A	M Atkinson	13	11	3	6	10	11	2	7	2	3	0	0	2.3	3.25	3.5	2.3	3.1	3.25	2.3	3.2	3	2.3	3.25	3.3	2.32	3.23	3.57	2.3	3.2	3.2	2.3	3.2	3.6	40	2.33	2.28	3.27	3.2	3.6	3.36	33	2.48	2.37	1.61	1.57	24	-0.25	1.98	1.93	1.98	1.93	2.4	3.18	3.46
7	E0	28/09/15	West Brom	Everton	2	-3	A	1	0	H	R Madley	9	12	4	4	9	8	6	4	0	3	0	0	3.1	3.3	2.5	2.8	3.25	2.45	2.85	3.2	2.4	3	3.25	2.5	3.06	3.39	2.51	3.1	3	2.5	3.1	3.3	2.5	39	3.1	2.98	3.4	3.25	2.55	2.47	34	2.34	2.23	1.71	1.64	23	0	2.17	2.1	1.82	1.77	3.02	3.36	2.55
8	E0	3/10/15	Crystal Palace	West Brom	2	0	H	0	0	D	J Moss	21	7	8	2	14	13	8	3	3	3	0	0	1.83	3.6	5	1.8	3.4	4.5	1.8	3.5	4.2	1.85	3.5	4.75	1.84	3.65	4.93	1.85	3.1	5	1.85	3.5	5	43	1.87	1.81	3.7	3.49	5.05	4.74	38	2.25	2.14	1.77	1.7	25	-0.75	2.11	2.05	1.87	1.82	1.83	3.64	5
9	E0	17/10/15	West Brom	Sunderland	1	0	H	0	0	D	M Atkinson	8	9	1	2	12	13	1	5	2	2	0	0	2.05	3.4	4.2	2.05	3.25	3.6	1.85	3.45	4	2.05	3.25	4.2	2.08	3.42	4.07	2.1	3	4	2.05	3.3	4.2	46	2.1	2.03	3.45	3.28	4.2	3.95	40	2.35	2.27	1.68	1.62	27	-0.5	2.09	2.03	1.86	1.83	2.15	3.35	3.91
10	E0	24/10/15	Norwich	West Brom	0	-1	A	0	0	D	K Friend	16	7	3	4	11	6	13	3	1	2	0	0	2	3.5	4.2	2	3.3	3.7	2.1	3.3	3.3	2	3.4	4	2.02	3.49	4.18	2.05	3.1	4	1.98	3.5	4.33	43	2.1	2	3.5	3.39	4.31	3.97	38	2.2	2.11	1.8	1.71	24	-0.5	2.02	1.97	1.94	1.89	1.98	3.74	4.03
11	E0	31/10/15	West Brom	Leicester	2	-3	A	1	0	H	A Taylor	14	13	6	5	3	11	6	4	0	2	0	0	2.9	3.4	2.6	2.6	3.3	2.6	2.65	3.3	2.5	2.88	3.3	2.6	2.84	3.36	2.7	2.9	3	2.62	2.9	3.3	2.63	46	2.9	2.82	3.4	3.25	2.7	2.58	41	2.14	2.04	1.84	1.77	28	0	2.08	2	1.92	1.84	2.97	3.38	2.58
12	E0	7/11/15	Man United	West Brom	2	0	H	0	0	D	M Dean	13	4	3	0	11	10	5	1	1	3	0	1	1.33	5.25	12	1.33	5	8.75	1.35	4.8	7.6	1.36	4.5	11	1.34	5.25	12.05	1.36	4	12	1.33	5.25	11.5	43	1.36	1.33	5.3	4.91	12.05	10.69	38	2.01	1.93	1.95	1.87	25	-1.5	2.08	2.01	1.88	1.85	1.36	5.1	11.15
13	E0	21/11/15	West Brom	Arsenal	2	-1	H	2	1	H	M Clattenburg	4	11	1	3	14	10	3	5	3	2	0	0	7	4.33	1.53	6	4.33	1.53	5.6	3.9	1.55	6.5	4.33	1.53	6.68	4.29	1.57	6.5	4	1.53	7	4.33	1.53	42	7	6.4	4.4	4.18	1.59	1.54	36	1.89	1.79	2.12	2.02	26	1	2.05	1.96	1.97	1.91	6.11	4.28	1.6
